Date,The_business_has_stopped_exporting_in_the_last_two_weeks ,Exporting_has_not_been_affected ,"The_business_is_exporting,_but_less_than_normal","The_business_is_exporting,_but_more_than_normal",Not_sure 
02/07/2020,0.0,38.2,60.9,0.0,12.0
16/07/2020,0.0,84.3,14.8,0.0,12.0
30/07/2020,0.0,63.0,25.1,11.6,12.0
13/08/2020,0.0,50.5,48.8,11.6,12.0
27/08/2020,0.0,80.4,6.5,1.1,12.0
10/09/2020,0.0,62.5,18.5,0.0,18.5
24/09/2020,0.0,61.0,5.0,0.0,33.9
08/10/2020,0.0,60.7,37.1,0.0,33.9
22/10/2020,0.0,31.9,13.5,54.3,33.9
05/11/2020,7.9,47.7,35.9,54.3,8.5
19/11/2020,1.1,60.2,27.3,0.0,11.5
03/12/2020,3.8,61.3,25.1,1.0,8.8
17/12/2020,3.8,73.4,12.2,1.0,13.7
07/01/2021,0.0,63.1,16.4,7.7,12.8
14/01/2021,0.0,57.6,23.1,3.8,14.8
28/01/2021,0.0,65.1,19.9,3.8,14.2
11/02/2021,3.9,57.9,32.1,3.8,5.5
25/02/2021,3.9,54.6,32.7,3.5,8.4
11/03/2021,3.9,67.2,25.0,3.5,6.8
25/03/2021,3.9,54.1,32.5,7.7,5.0
08/04/2021,7.0,68.1,15.9,7.2,1.8
22/04/2021,3.6,49.6,23.6,16.2,7.1
06/05/2021,3.6,64.5,16.1,16.2,19.2
20/05/2021,3.6,59.0,23.9,3.1,13.3
03/06/2021,3.6,54.0,21.7,4.3,19.7
17/06/2021,4.4,63.8,18.5,11.6,1.6
01/07/2021,6.1,70.7,12.3,3.2,7.6
15/07/2021,6.1,66.1,18.6,3.5,11.5
29/07/2021,4.0,64.2,18.5,11.8,1.4
12/08/2021,4.0,75.1,17.5,11.8,6.1
26/08/2021,4.0,66.3,12.6,6.2,14.1
09/09/2021,4.0,69.9,15.8,6.2,13.8
23/09/2021,5.8,62.4,7.0,4.9,20.0
07/10/2021,5.0,58.1,19.4,4.7,12.8
21/10/2021,4.1,65.6,15.3,5.0,10.0
