Date,On_furlough_leave ,Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay ,Made_permanently_redundant ,Working_at_their_normal_place_of_work ,Working_remotely_instead_of_at_their_normal_place_of_work ,Other 
02/07/2020,10.8,1.0,2.1,12.8,74.5,1.2
16/07/2020,9.2,1.0,2.1,9.8,77.5,1.2
30/07/2020,10.0,1.0,2.1,15.8,72.3,1.2
13/08/2020,7.4,1.0,2.1,17.4,74.2,1.2
27/08/2020,6.1,1.0,2.1,20.2,71.3,1.4
10/09/2020,5.8,1.0,2.1,21.5,71.4,1.4
24/09/2020,4.2,1.0,2.1,23.0,71.0,1.4
08/10/2020,4.0,1.0,2.1,20.0,74.3,1.4
22/10/2020,2.9,1.0,2.1,17.2,76.8,2.4
05/11/2020,3.0,1.0,2.1,23.3,71.5,1.2
19/11/2020,2.5,1.0,2.1,18.6,77.0,1.2
03/12/2020,3.5,1.0,2.1,17.0,77.9,1.2
17/12/2020,3.8,1.0,2.1,15.7,78.9,1.2
07/01/2021,3.4,1.0,2.1,16.1,79.2,1.2
14/01/2021,4.5,1.0,2.1,15.8,78.1,1.0
28/01/2021,6.1,1.0,0.0,13.9,78.1,1.3
11/02/2021,4.8,1.0,0.0,12.4,81.9,1.3
25/02/2021,5.7,1.0,0.0,12.5,80.4,1.3
11/03/2021,7.7,1.0,0.0,10.8,80.2,1.3
25/03/2021,5.6,1.0,0.0,12.5,80.8,1.3
08/04/2021,4.7,1.0,0.0,13.2,81.2,1.3
22/04/2021,6.7,1.0,0.0,12.0,80.7,1.3
06/05/2021,3.4,1.0,0.0,14.2,81.4,1.3
20/05/2021,2.3,1.0,0.0,15.3,81.4,1.3
03/06/2021,2.5,1.0,0.0,15.9,80.4,1.3
17/06/2021,2.3,1.0,0.0,17.4,79.1,1.3
