Date,The_business_has_stopped_exporting_in_the_last_two_weeks ,Exporting_has_not_been_affected ,"The_business_is_exporting,_but_less_than_normal","The_business_is_exporting,_but_more_than_normal",Not_sure 
02/07/2020,1.0,23.6,34.5,26.6,15.2
16/07/2020,1.0,42.9,34.6,19.8,1.7
30/07/2020,1.0,27.8,38.8,5.6,27.7
13/08/2020,1.0,40.2,31.6,15.5,12.6
27/08/2020,1.0,37.2,47.9,13.2,1.2
10/09/2020,5.4,35.8,28.9,13.2,29.4
24/09/2020,5.4,27.8,58.4,7.8,5.7
08/10/2020,5.4,38.0,27.5,7.8,33.4
22/10/2020,7.1,42.4,10.9,37.9,1.7
05/11/2020,12.2,35.4,37.3,13.1,2.0
19/11/2020,7.3,54.4,26.6,6.9,4.9
03/12/2020,2.5,47.1,40.2,1.0,9.1
17/12/2020,2.3,59.8,29.6,1.1,7.3
07/01/2021,2.3,51.9,32.2,6.3,9.5
14/01/2021,1.6,40.7,27.5,16.8,13.4
28/01/2021,2.9,37.7,25.3,15.1,18.9
11/02/2021,2.0,23.9,37.6,27.1,9.5
25/02/2021,2.0,28.2,34.3,23.6,13.2
11/03/2021,3.9,40.8,32.3,11.2,11.7
25/03/2021,3.9,34.5,31.0,10.8,22.9
08/04/2021,1.9,37.7,34.5,3.0,23.0
22/04/2021,3.7,26.1,31.1,13.5,25.6
06/05/2021,3.5,46.4,21.2,15.1,13.8
20/05/2021,4.7,49.7,22.3,10.8,12.4
03/06/2021,4.7,52.9,26.2,11.8,8.9
17/06/2021,3.2,52.8,25.7,10.1,8.2
01/07/2021,3.2,47.1,16.5,24.1,12.2
15/07/2021,4.6,21.8,36.8,17.2,19.6
29/07/2021,5.7,30.9,43.6,9.4,10.4
12/08/2021,4.2,38.8,31.9,15.9,9.1
26/08/2021,4.2,40.8,30.5,15.4,12.7
09/09/2021,4.2,42.2,27.1,12.2,18.0
23/09/2021,2.6,44.9,34.2,8.1,10.1
07/10/2021,10.4,29.5,28.9,19.3,11.9
21/10/2021,5.8,42.0,30.2,7.3,14.7
