Date,Turnover_has_increased_by_more_than_50%,Turnover_has_increased_between_20%_and_50%,Turnover_has_increased_by_up_to_20%,Turnover_unaffected,Turnover_has_decreased_by_up_to_20%,Turnover_has_decreased_between_20%_and_50%,Turnover_has_decreased_by_more_than_50%,Not_sure 
02/07/2020,1.7,1.9,8.4,17.4,22.9,17.4,25.4,5.0
16/07/2020,1.0,1.3,5.7,15.0,17.4,24.6,27.4,7.6
30/07/2020,1.4,1.8,7.3,18.6,22.1,25.2,18.8,4.9
13/08/2020,1.4,3.3,6.9,22.8,22.2,20.9,17.1,6.0
27/08/2020,1.4,1.5,10.2,28.1,19.4,18.1,18.1,4.1
10/09/2020,1.4,4.7,3.8,29.5,22.4,21.9,12.9,3.9
24/09/2020,0.0,4.8,8.0,33.6,20.8,16.7,9.3,6.8
08/10/2020,0.0,3.8,6.9,35.6,18.4,16.0,11.4,7.8
22/10/2020,1.1,3.6,7.0,35.3,22.1,15.0,11.1,4.9
05/11/2020,1.1,4.1,7.3,35.6,17.0,11.5,15.5,8.5
19/11/2020,1.9,2.9,7.5,37.3,16.0,8.8,15.0,10.7
03/12/2020,1.1,1.1,5.3,38.8,18.8,12.7,12.2,9.9
17/12/2020,1.1,2.8,5.1,44.6,18.3,10.8,10.5,7.4
07/01/2021,1.0,3.1,6.5,45.1,14.0,10.4,10.5,9.4
14/01/2021,1.0,4.1,5.2,39.2,17.6,14.3,9.7,9.2
28/01/2021,0.0,1.5,4.9,39.6,20.0,15.0,11.6,7.4
11/02/2021,0.0,3.1,4.5,34.9,21.6,12.0,12.4,11.6
25/02/2021,0.0,3.3,3.1,38.3,26.1,11.4,10.6,6.8
11/03/2021,0.0,3.3,6.9,38.3,18.8,13.2,9.0,9.9
25/03/2021,1.4,3.1,6.1,40.1,16.0,13.5,10.3,9.4
08/04/2021,1.4,3.6,7.3,37.9,23.6,11.2,8.1,7.7
22/04/2021,0.0,4.8,8.0,33.6,20.8,16.7,9.3,6.8
06/05/2021,0.0,3.7,8.7,46.7,15.1,8.4,8.5,8.9
20/05/2021,0.0,4.3,10.8,45.0,15.4,9.3,6.8,7.8
03/06/2021,0.0,3.7,10.5,46.8,13.6,6.3,8.5,10.1
17/06/2021,0.0,2.3,11.7,50.1,11.1,7.3,8.1,8.6
01/07/2021,0.0,3.6,12.3,48.3,11.9,7.7,6.0,9.2
15/07/2021,0.0,2.3,13.4,46.1,11.1,9.7,6.1,10.5
29/07/2021,1.4,2.7,9.4,45.9,17.6,8.1,6.2,8.5
12/08/2021,1.4,2.5,8.5,48.6,15.2,7.5,8.2,8.8
26/08/2021,3.0,0.0,7.0,47.1,6.0,8.1,9.0,19.7
09/09/2021,3.0,0.0,7.0,54.5,5.3,3.5,7.4,21.8
23/09/2021,0.0,0.0,1.0,43.4,8.1,3.6,14.4,29.5
07/10/2021,0.0,0.0,3.7,45.1,5.6,10.6,6.0,28.5
21/10/2021,0.0,3.9,1.4,44.3,8.2,6.2,6.0,35.4
04/11/2021,0.0,0.0,1.3,39.1,10.9,9.9,8.2,30.6
18/11/2021,0.0,0.0,4.2,50.6,7.8,4.1,3.2,29.5
02/12/2021,1.2,0.0,10.0,34.6,13.0,4.0,12.2,24.5
16/12/2021,0.0,3.0,10.0,31.7,9.1,17.8,5.1,32.5
