Date,Job_Retention_Bonus,Kickstart_Job_Scheme_for_young_people,Not_sure_,"Not_using,_or_intending_to_use,_either_of_these_schemes"
19/11/2020,27.7,6.4,23.6,50.6
03/12/2020,21.3,6.4,12.8,62.8
17/12/2020,28.0,6.4,12.7,59.3
07/01/2021,21.4,2.5,8.1,68.4
14/01/2021,17.9,2.5,11.9,70.1
28/01/2021,23.1,2.5,14.5,62.3
11/02/2021,17.3,1.9,10.7,70.1
25/02/2021,21.8,1.9,6.4,71.8
11/03/2021,19.8,1.9,12.1,68.0
25/03/2021,21.3,1.9,11.3,67.3
08/04/2021,14.4,1.9,4.6,80.9
22/04/2021,13.4,1.9,15.0,59.2
06/05/2021,17.6,1.9,17.6,57.7
20/05/2021,16.3,4.4,9.8,68.4
03/06/2021,20.1,4.4,7.3,66.9
17/06/2021,26.3,1.6,9.8,59.8
01/07/2021,14.7,1.6,14.8,64.5
15/07/2021,18.7,1.6,5.5,72.8
29/07/2021,11.3,1.6,17.7,66.2
12/08/2021,16.1,1.6,5.1,74.3
26/08/2021,11.8,1.6,14.3,69.0
09/09/2021,18.6,1.1,7.0,72.4
23/09/2021,7.8,1.1,22.4,66.0
