Date,On_furlough_leave ,Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay ,Made_permanently_redundant ,Working_at_their_normal_place_of_work ,Working_remotely_instead_of_at_their_normal_place_of_work ,Other 
02/07/2020,29.1,1.9,1.2,49.0,18.8,1.3
16/07/2020,28.7,1.6,1.2,49.6,18.6,1.3
30/07/2020,26.7,1.2,1.2,54.0,17.3,1.3
13/08/2020,23.7,1.2,1.2,58.9,15.4,1.3
27/08/2020,18.5,1.2,1.2,58.0,19.9,1.3
10/09/2020,17.0,1.2,1.0,58.9,20.7,1.3
24/09/2020,15.8,2.2,1.6,61.9,17.2,1.3
08/10/2020,14.7,1.5,1.6,64.4,17.3,1.3
22/10/2020,12.9,1.6,1.6,64.8,19.5,1.3
05/11/2020,10.9,1.9,1.2,68.8,16.7,1.3
19/11/2020,10.3,1.9,1.2,65.4,20.3,1.0
03/12/2020,11.8,2.0,1.1,63.0,18.5,3.6
17/12/2020,12.4,1.9,1.5,61.9,19.7,2.5
07/01/2021,12.2,2.2,1.5,64.8,20.0,2.5
14/01/2021,9.4,2.0,1.5,65.4,22.0,2.5
28/01/2021,13.1,2.4,1.5,65.3,18.2,2.5
11/02/2021,14.2,2.4,0.0,66.5,16.7,2.5
25/02/2021,13.4,2.5,0.0,68.0,15.5,2.5
11/03/2021,17.3,1.9,0.0,64.6,15.6,2.5
25/03/2021,18.8,1.6,0.0,62.1,15.9,1.6
08/04/2021,14.1,1.7,0.0,68.4,15.5,1.6
22/04/2021,11.6,1.5,0.0,70.7,15.5,1.6
06/05/2021,12.9,1.4,0.0,68.8,16.2,1.6
20/05/2021,14.3,1.3,0.0,66.3,17.7,1.6
03/06/2021,12.3,1.5,0.0,69.7,16.4,1.6
17/06/2021,13.8,1.1,0.0,67.6,17.0,1.6
