Date,Turnover_Has_Increased_By_More_Than_50%,Turnover_Has_Increased_Between_20%_And_50%,Turnover_Has_Increased_By_Up_To_20%,Turnover_Unaffected,Turnover_Has_Decreased_By_Up_To_20%,Turnover_Has_Decreased_Between_20%_And_50%,Turnover_Has_Decreased_By_More_Than_50%,Not_Sure_
02/07/2020,3.2,4.2,4.4,6.9,3.8,7.4,58.6,15.2
16/07/2020,1.3,4.2,3.3,6.1,9.1,21.9,48.9,5.1
30/07/2020,1.0,1.7,3.4,5.6,12.1,33.4,39.1,3.8
13/08/2020,1.7,2.3,4.7,5.7,13.7,33.3,35.3,3.4
27/08/2020,1.2,5.9,6.1,9.4,22.7,24.2,25.1,5.4
10/09/2020,1.5,5.5,13.9,15.5,17.2,22.1,17.5,6.9
24/09/2020,1.9,5.5,13.3,13.6,16.8,21.3,20.8,6.8
08/10/2020,1.9,2.5,7.7,14.3,23.6,26.2,19.7,5.2
22/10/2020,1.9,5.0,10.0,12.2,16.9,28.6,22.0,4.9
05/11/2020,0.0,2.5,7.3,13.5,18.0,28.6,25.0,5.1
19/11/2020,0.0,1.5,5.6,7.3,17.2,29.8,32.2,6.0
03/12/2020,0.0,2.2,4.1,9.0,14.2,22.0,43.1,4.5
17/12/2020,0.0,2.2,6.2,8.7,11.6,21.8,44.5,5.7
07/01/2021,0.0,2.2,5.6,8.3,13.0,19.2,45.6,5.5
14/01/2021,1.2,1.8,5.2,10.7,14.9,18.8,41.9,5.4
28/01/2021,1.2,1.1,3.8,7.3,14.1,15.3,51.9,6.0
11/02/2021,0.0,1.0,6.2,10.1,15.2,16.9,47.1,3.6
25/02/2021,0.0,1.0,5.4,10.9,14.2,17.0,45.0,6.2
11/03/2021,0.0,1.2,7.9,13.5,13.0,14.8,44.8,4.7
25/03/2021,0.0,2.1,8.6,12.4,10.0,15.5,43.7,7.0
08/04/2021,0.0,1.0,8.7,11.2,13.2,15.1,44.1,6.6
22/04/2021,0.0,3.6,8.9,15.2,9.7,13.3,41.1,7.4
06/05/2021,3.8,2.3,2.0,16.1,15.2,19.9,25.2,15.4
20/05/2021,1.0,6.8,5.3,22.0,16.9,14.5,24.7,8.9
03/06/2021,1.8,3.7,8.8,12.2,12.6,21.5,29.0,10.3
17/06/2021,3.2,6.0,17.1,15.9,15.8,16.5,16.1,21.3
01/07/2021,1.9,4.6,12.8,16.2,14.8,21.4,15.3,13.0
15/07/2021,1.7,6.0,13.7,17.5,15.6,20.7,13.5,11.4
29/07/2021,1.7,6.3,13.9,21.9,15.3,17.9,11.5,11.4
12/08/2021,1.7,6.3,15.4,24.5,17.6,14.8,8.1,12.7
26/08/2021,1.7,4.0,13.4,24.7,26.5,16.9,2.0,12.3
09/09/2021,1.7,2.8,10.9,36.7,17.6,16.7,3.2,11.8
23/09/2021,0.0,5.8,6.1,39.4,16.9,12.8,6.4,12.5
07/10/2021,0.0,4.8,13.3,41.7,13.2,12.5,6.5,8.0
21/10/2021,1.4,2.4,8.3,47.1,17.8,12.3,2.2,8.5
04/11/2021,1.2,3.2,3.4,53.3,9.7,5.3,6.4,17.6
18/11/2021,1.2,2.9,7.9,35.5,28.7,6.7,3.1,15.1
02/12/2021,2.2,2.1,1.7,54.5,12.1,8.3,5.6,13.4
16/12/2021,2.2,2.1,6.0,45.0,16.0,17.9,5.6,13.8
