Date,Not_been_able_to_import_in_the_last_two_weeks,Importing_has_not_been_affected,"Importing,_but_less_than_normal",Importing_more_than_normal,Not_sure
02/07/2020,0.0,91.0,7.7,0.0,1.3
16/07/2020,0.0,91.0,7.7,0.0,1.3
30/07/2020,0.0,91.0,7.7,0.0,1.3
13/08/2020,0.0,89.7,10.3,0.0,0.0
27/08/2020,3.3,20.1,76.6,0.0,0.0
10/09/2020,1.3,74.8,17.7,0.0,6.2
24/09/2020,1.1,49.7,4.3,42.7,2.2
08/10/2020,3.0,38.5,53.5,1.6,3.5
22/10/2020,3.9,89.6,5.3,1.6,3.5
05/11/2020,0.0,38.1,42.2,2.6,17.1
19/11/2020,0.0,10.3,9.5,0.0,79.6
03/12/2020,4.2,13.8,19.4,0.0,62.7
17/12/2020,4.4,34.6,40.1,9.9,11.0
07/01/2021,1.2,42.9,13.9,9.9,41.3
14/01/2021,43.5,4.8,24.3,21.8,5.7
28/01/2021,3.6,71.5,9.9,4.7,10.1
11/02/2021,37.9,6.6,12.6,4.7,42.6
25/02/2021,3.6,71.6,11.3,0.0,13.5
11/03/2021,2.2,12.8,75.4,0.0,9.6
25/03/2021,14.9,22.6,39.0,11.0,12.5
08/04/2021,37.0,2.7,54.5,11.0,5.6
22/04/2021,38.5,37.3,13.3,11.0,10.7
06/05/2021,13.5,21.2,26.6,5.0,33.6
20/05/2021,5.5,12.1,12.6,5.0,69.2
03/06/2021,27.2,5.7,8.0,5.0,58.7
17/06/2021,27.0,9.8,32.3,5.0,30.7
01/07/2021,4.1,16.2,12.8,5.0,66.3
15/07/2021,8.6,33.5,22.1,1.4,34.5
29/07/2021,14.9,37.8,21.6,10.9,14.7
12/08/2021,12.3,21.6,7.1,9.7,49.4
26/08/2021,21.5,24.6,21.2,1.0,31.6
09/09/2021,14.1,29.6,28.5,1.3,26.4
23/09/2021,34.2,25.5,3.8,16.9,19.7
07/10/2021,10.4,12.4,3.5,1.5,72.2
21/10/2021,2.3,44.6,34.2,10.3,8.7
