Date,Turnover_has_increased_by_more_than_50%,Turnover_has_increased_between_20%_and_50%,Turnover_has_increased_by_up_to_20%,Turnover_unaffected,Turnover_has_decreased_by_up_to_20%,Turnover_has_decreased_between_20%_and_50%,Turnover_has_decreased_by_more_than_50%,Not_sure 
02/07/2020,0.0,2.5,4.3,45.2,18.0,13.6,7.8,8.4
16/07/2020,0.0,1.7,3.2,46.5,17.8,14.5,9.3,6.5
30/07/2020,0.0,1.7,3.5,46.2,20.3,13.8,5.5,8.9
13/08/2020,0.0,1.4,4.5,48.0,18.6,12.2,7.5,7.4
27/08/2020,0.0,1.9,4.9,47.1,16.1,14.9,6.9,7.6
10/09/2020,0.0,4.7,3.8,29.5,22.4,21.9,12.9,3.9
24/09/2020,0.0,4.7,3.7,54.2,18.4,10.6,3.9,8.6
08/10/2020,0.0,3.0,3.0,48.0,18.5,10.9,4.2,12.1
22/10/2020,0.0,1.1,2.8,55.9,19.0,9.6,2.7,8.7
05/11/2020,1.5,1.1,2.8,52.7,17.2,10.8,3.0,11.6
19/11/2020,1.5,1.1,2.9,53.6,17.7,9.5,7.3,7.8
03/12/2020,1.5,1.0,1.9,56.7,15.7,9.1,7.1,7.8
17/12/2020,1.5,1.2,3.0,55.5,16.9,7.3,4.9,10.5
07/01/2021,1.5,1.8,3.9,59.5,13.7,6.7,5.0,8.6
14/01/2021,1.5,1.8,2.3,56.7,13.5,9.0,5.5,11.7
28/01/2021,1.5,1.1,2.2,59.3,12.7,9.5,4.4,10.5
11/02/2021,1.5,1.1,2.1,57.6,13.7,7.1,5.5,12.7
25/02/2021,1.0,1.6,3.5,57.0,13.8,6.1,6.2,10.8
11/03/2021,1.0,2.1,3.5,55.2,14.7,6.8,6.2,10.7
25/03/2021,1.0,1.6,3.0,59.9,13.1,6.2,6.2,9.6
08/04/2021,1.0,1.8,4.5,59.2,11.4,6.7,5.8,10.0
22/04/2021,1.1,1.8,4.3,56.4,12.6,8.9,4.8,10.1
06/05/2021,1.1,1.3,6.2,58.8,11.3,7.4,4.0,10.1
20/05/2021,1.3,2.0,5.5,58.4,11.3,8.2,3.5,9.7
03/06/2021,1.3,1.5,4.5,61.7,12.7,6.9,3.0,9.1
17/06/2021,1.3,1.4,6.4,59.4,12.4,7.0,2.5,10.2
01/07/2021,1.3,1.9,6.3,60.9,12.1,6.2,2.4,9.6
15/07/2021,0.0,2.9,4.4,66.2,10.3,4.2,3.3,8.8
29/07/2021,0.0,1.4,5.9,65.1,10.5,4.3,2.4,10.0
12/08/2021,0.0,1.3,5.3,63.0,9.9,5.9,3.8,10.4
26/08/2021,1.6,2.6,4.2,60.9,5.4,9.3,9.3,6.8
09/09/2021,1.6,2.6,1.5,65.6,9.1,7.1,8.6,6.5
23/09/2021,1.6,2.5,1.9,74.3,2.4,3.7,5.8,8.5
07/10/2021,1.6,5.3,3.5,62.4,7.5,6.0,5.4,9.0
21/10/2021,1.0,3.5,2.1,67.7,5.5,3.2,8.0,9.0
04/11/2021,1.0,3.5,2.3,56.3,10.7,12.4,8.0,9.5
18/11/2021,0.0,1.6,7.0,62.6,6.3,4.8,7.9,9.8
02/12/2021,0.0,1.6,4.0,55.4,9.3,13.9,6.3,9.1
16/12/2021,0.0,3.1,4.5,63.6,6.6,5.9,5.8,10.5
