Date,Not_been_able_to_import_in_the_last_two_weeks,Importing_has_not_been_affected,"Importing,_but_less_than_normal",Importing_more_than_normal,Not_sure
02/07/2020,0.0,72.7,26.3,0.0,18.5
16/07/2020,0.0,95.7,3.9,0.0,18.5
30/07/2020,0.0,55.6,25.9,0.0,18.5
13/08/2020,0.0,41.3,57.5,0.0,18.5
27/08/2020,0.0,91.0,7.0,0.0,1.8
10/09/2020,0.0,72.3,2.5,0.0,25.2
24/09/2020,0.0,33.3,24.2,0.0,42.4
08/10/2020,0.0,61.2,19.9,0.0,18.0
22/10/2020,0.0,93.8,4.9,0.0,1.2
05/11/2020,0.0,66.2,8.2,25.1,1.2
19/11/2020,0.0,71.1,28.0,25.1,1.2
03/12/2020,0.0,63.6,25.1,4.4,6.7
17/12/2020,0.0,57.7,33.8,0.0,8.5
07/01/2021,9.4,65.2,19.5,5.5,8.5
14/01/2021,4.7,49.9,22.5,5.5,17.3
28/01/2021,0.0,51.3,26.3,4.4,18.1
11/02/2021,6.7,67.7,1.5,7.0,17.0
25/02/2021,0.0,59.4,20.2,7.0,19.9
11/03/2021,0.0,78.7,19.6,0.0,1.6
25/03/2021,0.0,80.1,17.0,0.0,2.3
08/04/2021,5.5,61.8,19.7,4.7,8.2
22/04/2021,0.0,63.0,28.6,0.0,8.3
06/05/2021,7.7,62.6,12.0,5.4,12.4
20/05/2021,12.9,34.9,26.9,5.4,24.4
03/06/2021,12.9,66.5,13.8,0.0,19.0
17/06/2021,0.0,65.3,21.6,0.0,13.1
01/07/2021,7.7,71.1,18.5,0.0,2.6
15/07/2021,7.7,69.4,11.6,0.0,18.5
29/07/2021,5.7,83.8,8.4,0.0,1.9
12/08/2021,10.3,48.9,22.9,5.9,12.0
26/08/2021,10.3,82.8,7.6,5.9,8.5
09/09/2021,1.2,75.4,9.6,6.3,7.6
23/09/2021,1.2,53.9,7.1,6.8,31.8
07/10/2021,1.2,53.9,7.1,6.8,31.8
21/10/2021,1.2,53.9,7.1,6.8,31.8
