Date,The_business_has_stopped_exporting_in_the_last_two_weeks ,Exporting_has_not_been_affected ,"The_business_is_exporting,_but_less_than_normal","The_business_is_exporting,_but_more_than_normal",Not_sure 
02/07/2020,1.3,39.4,57.1,2.0,1.3
16/07/2020,1.3,36.4,57.4,3.3,1.7
30/07/2020,1.3,48.6,40.5,1.0,9.6
13/08/2020,2.4,44.9,43.8,8.3,9.6
27/08/2020,1.0,64.9,30.5,8.3,2.8
10/09/2020,3.1,60.5,32.8,8.3,2.9
24/09/2020,13.6,32.0,29.5,9.2,15.7
08/10/2020,5.1,52.6,27.2,1.9,13.3
22/10/2020,1.8,41.3,13.0,36.6,7.2
05/11/2020,1.8,51.2,30.2,5.5,12.3
19/11/2020,3.8,64.1,28.7,5.5,3.0
03/12/2020,3.8,54.8,37.8,1.5,5.4
17/12/2020,3.8,55.3,33.2,6.3,4.3
07/01/2021,1.1,53.8,36.5,2.6,6.0
14/01/2021,2.1,63.1,12.4,11.9,10.5
28/01/2021,5.2,50.1,19.7,13.7,11.3
11/02/2021,3.0,35.4,20.1,22.2,19.3
25/02/2021,7.0,44.0,25.2,16.1,7.8
11/03/2021,2.2,50.4,23.0,16.2,8.2
25/03/2021,1.3,49.6,32.0,9.1,8.0
08/04/2021,2.5,55.4,29.5,2.0,10.6
22/04/2021,6.8,40.9,34.9,11.6,5.8
06/05/2021,3.7,45.3,32.5,5.7,12.7
20/05/2021,3.2,41.5,18.0,7.1,30.2
03/06/2021,1.0,48.3,22.5,7.2,20.9
17/06/2021,1.1,44.1,31.2,3.9,19.8
01/07/2021,1.1,51.2,24.4,13.6,10.3
15/07/2021,3.6,42.5,30.6,9.1,14.2
29/07/2021,2.5,49.1,33.4,8.0,6.9
12/08/2021,1.9,45.9,28.3,3.5,20.4
26/08/2021,1.9,51.1,32.9,1.9,13.1
09/09/2021,4.3,42.6,25.2,5.0,22.9
23/09/2021,1.1,44.9,24.1,7.5,22.4
07/10/2021,1.1,52.1,26.9,2.0,18.5
21/10/2021,3.4,45.9,33.6,2.0,16.2
