Date,Turnover_has_increased_by_more_than_50%,Turnover_has_increased_between_20%_and_50%,Turnover_has_increased_by_up_to_20%,Turnover_unaffected,Turnover_has_decreased_by_up_to_20%,Turnover_has_decreased_between_20%_and_50%,Turnover_has_decreased_by_more_than_50%,Not_sure 
02/07/2020,1.2,1.6,5.4,20.9,16.7,29.6,21.7,3.2
16/07/2020,1.2,3.2,6.8,23.6,20.1,25.0,15.7,4.5
30/07/2020,1.2,3.8,7.9,28.3,22.0,23.7,9.3,4.2
13/08/2020,1.5,3.8,7.6,30.9,19.2,23.7,10.0,3.4
27/08/2020,1.5,3.6,6.7,33.2,23.9,19.4,7.8,4.7
10/09/2020,1.5,2.2,9.4,36.5,23.0,18.1,4.5,5.4
24/09/2020,1.1,2.9,7.1,37.7,22.2,18.6,5.9,4.6
08/10/2020,1.1,3.5,7.5,38.7,20.9,17.9,4.7,5.7
22/10/2020,1.1,3.9,7.1,40.2,24.5,14.4,4.2,5.2
05/11/2020,1.1,1.6,9.0,40.4,23.3,14.9,4.4,5.9
19/11/2020,1.1,2.6,8.1,42.0,20.9,14.1,5.2,6.5
03/12/2020,1.1,2.1,7.8,39.6,21.8,15.9,5.3,6.8
17/12/2020,1.1,2.6,7.0,42.2,19.8,15.7,4.6,7.7
07/01/2021,1.1,2.7,7.7,43.3,21.9,13.1,3.9,6.7
14/01/2021,1.1,2.3,6.3,47.3,19.4,10.9,5.0,8.3
28/01/2021,1.1,1.2,5.4,44.0,21.1,14.1,5.6,8.0
11/02/2021,1.1,1.2,4.7,43.1,21.6,14.5,6.4,8.4
25/02/2021,1.1,1.6,6.3,39.5,23.8,14.1,6.6,7.8
11/03/2021,1.1,1.8,7.5,40.4,23.1,13.2,5.6,7.8
25/03/2021,1.1,3.1,7.2,43.3,19.8,13.7,5.5,6.6
08/04/2021,1.1,2.6,10.5,42.1,18.8,12.3,5.0,7.9
22/04/2021,1.1,4.5,10.2,46.1,14.8,11.2,4.0,8.1
06/05/2021,1.1,3.5,9.8,48.6,15.4,11.0,3.2,7.5
20/05/2021,1.3,4.6,11.0,45.8,16.2,10.5,3.5,7.2
03/06/2021,1.3,3.9,9.9,48.2,15.8,9.0,4.0,8.8
17/06/2021,1.3,3.8,10.7,46.8,15.2,10.6,3.0,9.5
01/07/2021,1.3,3.2,9.1,51.3,15.6,9.9,2.3,8.1
15/07/2021,1.3,3.5,11.4,46.7,15.7,10.0,2.4,9.7
29/07/2021,1.3,3.7,10.8,47.6,14.6,9.7,3.1,10.0
12/08/2021,1.3,3.7,9.4,48.1,15.1,9.2,3.2,11.1
26/08/2021,1.3,1.4,6.2,55.5,17.5,9.5,5.7,4.0
09/09/2021,1.3,1.7,7.9,44.2,22.1,7.3,4.8,11.9
23/09/2021,1.3,5.4,4.1,48.8,13.9,8.7,6.9,11.7
07/10/2021,0.0,2.3,5.5,49.6,19.5,8.1,7.4,7.5
21/10/2021,0.0,1.4,13.7,52.2,11.2,6.7,5.1,9.7
04/11/2021,0.0,1.6,7.0,62.6,6.3,4.8,7.9,9.8
18/11/2021,0.0,2.9,9.1,52.4,16.1,9.4,2.8,7.2
02/12/2021,0.0,3.1,4.5,63.6,6.6,5.9,5.8,10.5
16/12/2021,0.0,4.1,5.7,51.8,15.6,9.2,7.1,6.4
