Date,Not_been_able_to_import_in_the_last_two_weeks,Importing_has_not_been_affected,"Importing,_but_less_than_normal",Importing_more_than_normal,Not_sure
02/07/2020,0.0,50.8,33.4,13.7,1.9
16/07/2020,0.0,72.4,24.8,1.9,1.9
30/07/2020,0.0,51.4,33.7,1.9,13.3
13/08/2020,17.2,36.1,27.3,10.3,9.0
27/08/2020,1.9,40.4,55.2,1.4,1.1
10/09/2020,1.9,43.0,51.4,1.3,3.7
24/09/2020,17.2,53.2,24.7,2.0,3.0
08/10/2020,17.2,68.8,26.8,1.8,2.5
22/10/2020,18.2,46.3,30.7,1.5,3.3
05/11/2020,2.9,40.1,43.2,1.5,13.8
19/11/2020,1.7,42.0,42.2,1.3,12.7
03/12/2020,4.3,49.5,28.0,2.3,15.8
17/12/2020,4.3,62.3,23.0,4.9,5.5
07/01/2021,12.3,47.4,25.4,5.5,9.5
14/01/2021,13.1,48.6,15.2,10.0,13.1
28/01/2021,25.0,35.8,19.6,4.4,15.1
11/02/2021,14.7,48.6,16.2,3.4,17.1
25/02/2021,12.4,39.4,21.0,4.2,22.9
11/03/2021,10.2,42.7,33.0,2.0,12.1
25/03/2021,9.9,48.4,25.0,2.7,14.1
08/04/2021,5.1,55.5,24.2,8.1,7.1
22/04/2021,1.7,47.1,29.1,6.7,15.4
06/05/2021,4.3,49.1,31.4,4.4,10.7
20/05/2021,1.4,54.5,26.0,1.8,16.3
03/06/2021,7.3,60.1,18.9,2.3,11.5
17/06/2021,2.6,40.2,18.4,9.6,29.2
01/07/2021,5.2,42.2,24.5,9.6,18.6
15/07/2021,4.0,50.6,26.6,9.8,9.2
29/07/2021,3.0,56.4,27.4,1.3,11.9
12/08/2021,4.0,56.2,16.9,6.6,16.3
26/08/2021,1.4,59.4,31.2,1.5,6.4
09/09/2021,5.4,54.1,27.9,2.1,10.5
23/09/2021,5.4,66.0,20.9,5.9,6.4
07/10/2021,2.2,55.9,22.4,7.9,11.6
21/10/2021,3.3,58.5,13.6,7.6,17.0
