Date,On_furlough_leave ,Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay ,Made_permanently_redundant ,Working_at_their_normal_place_of_work ,Working_remotely_instead_of_at_their_normal_place_of_work ,Other 
02/07/2020,20.4,2.0,0.0,53.7,22.9,1.7
16/07/2020,15.9,2.1,0.0,54.6,25.4,1.7
30/07/2020,13.6,1.3,0.0,61.9,22.2,1.7
13/08/2020,13.1,1.4,0.0,62.9,21.5,1.7
27/08/2020,9.2,1.2,0.0,66.7,20.9,1.1
10/09/2020,8.9,1.1,0.0,68.9,20.0,1.1
24/09/2020,6.5,1.1,0.0,71.4,19.6,1.1
08/10/2020,5.3,1.2,0.0,72.3,19.9,1.1
22/10/2020,5.0,1.4,0.0,72.3,19.6,1.1
05/11/2020,3.8,1.8,0.0,72.3,21.0,1.1
19/11/2020,4.0,2.1,0.0,71.5,20.9,1.1
03/12/2020,4.9,2.1,0.0,69.5,22.3,1.1
17/12/2020,4.5,1.9,0.0,72.1,20.4,1.1
07/01/2021,3.8,1.8,0.0,70.7,22.4,1.1
14/01/2021,4.4,1.9,0.0,69.2,21.7,2.6
28/01/2021,4.9,2.3,0.0,66.8,24.0,1.8
11/02/2021,5.2,2.6,0.0,68.6,22.5,1.0
25/02/2021,6.4,2.1,0.0,67.4,22.6,1.4
11/03/2021,5.8,1.9,0.0,68.3,23.2,1.4
25/03/2021,5.7,1.7,0.0,68.9,23.1,1.4
08/04/2021,4.9,1.4,0.0,68.8,23.8,1.4
22/04/2021,5.9,1.5,0.0,69.8,21.6,1.1
06/05/2021,5.7,1.2,0.0,71.5,20.5,1.0
20/05/2021,6.0,1.0,0.0,70.2,22.0,1.0
03/06/2021,4.8,1.0,0.0,72.4,21.4,1.0
17/06/2021,5.5,1.0,0.0,71.9,20.8,1.0
