Date,Turnover_has_increased_by_more_than_50%,Turnover_has_increased_between_20%_and_50%,Turnover_has_increased_by_up_to_20%,Turnover_unaffected,Turnover_has_decreased_by_up_to_20%,Turnover_has_decreased_between_20%_and_50%,Turnover_has_decreased_by_more_than_50%,Not_sure_
02/07/2020,2.5,6.2,10.7,12.7,12.7,24.1,24.1,7.0
16/07/2020,2.7,7.8,12.7,14.6,13.0,22.5,20.0,6.8
30/07/2020,2.7,7.4,11.5,22.2,17.3,21.6,10.7,6.6
13/08/2020,3.0,7.3,9.8,25.0,18.2,20.0,10.1,6.7
27/08/2020,1.2,6.0,12.3,29.9,22.4,16.1,5.0,7.2
10/09/2020,1.2,5.7,14.6,29.8,23.1,15.3,2.7,7.6
24/09/2020,1.2,5.1,12.1,32.4,24.8,15.4,4.1,5.7
08/10/2020,1.2,5.6,11.9,34.2,22.6,13.9,3.5,8.2
22/10/2020,1.2,3.9,14.6,34.2,27.1,10.9,2.8,6.1
05/11/2020,1.4,5.3,9.6,34.5,22.7,12.8,5.6,8.0
19/11/2020,1.4,4.1,10.6,31.4,21.2,18.6,7.3,6.6
03/12/2020,1.4,3.4,8.8,30.4,21.2,15.6,11.6,8.3
17/12/2020,1.4,4.2,8.8,33.3,21.2,15.0,8.5,8.4
07/01/2021,1.1,4.0,9.8,35.2,20.1,15.7,5.7,8.4
14/01/2021,1.1,3.8,7.3,36.9,19.3,13.7,8.3,9.6
28/01/2021,1.9,2.5,5.3,30.7,21.6,16.9,11.4,9.5
11/02/2021,1.1,2.1,5.8,31.1,21.0,19.1,11.5,8.4
25/02/2021,1.7,3.1,6.4,30.5,22.1,17.3,10.9,8.0
11/03/2021,1.4,3.1,9.3,31.4,19.4,16.7,10.2,8.5
25/03/2021,2.1,3.6,10.3,31.9,20.8,14.4,9.7,7.2
08/04/2021,1.5,4.1,9.9,35.6,19.3,11.5,9.5,8.6
22/04/2021,2.1,4.8,11.8,36.0,16.9,12.1,7.6,8.6
06/05/2021,2.1,5.7,13.8,36.5,15.0,11.5,6.1,9.3
20/05/2021,1.8,7.0,14.1,38.4,15.5,9.9,5.1,8.1
03/06/2021,1.5,5.7,13.8,40.0,14.4,12.4,3.1,9.1
17/06/2021,1.7,5.0,14.4,41.0,17.8,7.8,2.4,9.8
01/07/2021,1.0,5.3,13.7,42.7,15.4,8.9,2.9,10.1
15/07/2021,1.0,5.3,13.7,42.7,15.4,8.9,2.9,10.1
29/07/2021,1.0,4.9,13.2,44.9,15.8,8.7,2.2,9.5
12/08/2021,1.0,4.2,14.2,45.3,16.8,6.9,1.9,10.5
26/08/2021,1.0,3.8,7.2,42.0,14.4,9.0,7.0,16.0
09/09/2021,1.0,2.0,9.6,41.8,14.5,10.7,6.0,15.3
23/09/2021,1.0,1.4,6.7,45.2,14.9,6.7,5.4,19.6
07/10/2021,1.0,1.4,7.9,45.6,13.4,10.5,6.1,15.4
21/10/2021,1.0,1.4,7.9,45.6,13.4,10.5,6.1,15.4
04/11/2021,1.1,2.7,8.1,43.7,17.8,10.6,2.5,13.5
18/11/2021,1.1,2.7,8.1,43.7,17.8,10.6,2.5,13.5
02/12/2021,1.1,3.5,10.1,37.8,20.2,11.6,3.0,12.6
16/12/2021,1.1,2.0,4.4,48.3,14.0,10.7,5.4,14.2
