Date,Not_been_able_to_import_in_the_last_two_weeks,Importing_has_not_been_affected,"Importing,_but_less_than_normal",Importing_more_than_normal,Not_sure
02/07/2020,3.3,46.2,41.0,5.3,6.7
16/07/2020,3.3,60.0,33.7,5.3,4.8
30/07/2020,3.3,48.5,39.9,4.2,4.2
13/08/2020,2.9,57.5,31.1,4.5,4.0
27/08/2020,5.6,63.8,27.9,1.4,1.3
10/09/2020,5.6,67.3,24.2,6.2,1.7
24/09/2020,6.2,46.6,38.5,1.2,7.4
08/10/2020,11.0,58.9,16.1,1.1,12.8
22/10/2020,11.0,45.6,33.2,10.3,10.5
05/11/2020,1.9,39.4,25.2,23.6,9.8
19/11/2020,12.0,35.6,33.8,4.0,14.5
03/12/2020,8.1,44.7,38.4,2.5,6.3
17/12/2020,8.1,49.1,37.0,3.8,9.6
07/01/2021,5.7,37.1,40.0,10.6,6.5
14/01/2021,4.9,40.5,28.1,11.8,14.7
28/01/2021,2.1,40.5,27.9,12.0,17.5
11/02/2021,2.0,39.2,26.9,16.9,15.1
25/02/2021,4.4,30.8,26.2,15.0,23.6
11/03/2021,2.1,33.3,32.1,19.3,13.1
25/03/2021,3.7,24.7,36.2,18.6,16.9
08/04/2021,2.1,36.4,33.8,12.7,15.0
22/04/2021,6.1,36.8,32.3,10.4,14.4
06/05/2021,5.2,35.3,34.0,9.4,16.1
20/05/2021,8.1,38.1,27.2,7.6,19.0
03/06/2021,3.0,41.0,33.2,13.9,8.8
17/06/2021,4.2,35.1,33.4,9.6,17.7
01/07/2021,4.5,39.2,30.5,9.9,15.9
15/07/2021,3.0,48.3,27.9,8.6,12.2
29/07/2021,6.6,55.6,27.9,1.3,8.5
12/08/2021,5.6,50.0,25.4,9.5,9.5
26/08/2021,5.0,43.9,22.2,6.4,22.5
09/09/2021,3.7,53.8,25.2,3.1,14.3
23/09/2021,4.9,50.9,20.9,4.4,18.9
07/10/2021,6.2,42.0,29.8,3.1,18.9
21/10/2021,6.5,51.9,16.8,5.4,19.4
