Date,Not_been_able_to_import_in_the_last_two_weeks,Importing_has_not_been_affected,"Importing,_but_less_than_normal",Importing_more_than_normal,Not_sure
02/07/2020,0.0,15.6,77.1,3.6,3.6
16/07/2020,1.1,10.1,81.2,2.7,4.9
30/07/2020,1.1,12.5,85.8,1.1,0.0
13/08/2020,1.2,26.4,69.6,2.2,0.0
27/08/2020,0.0,13.2,86.2,2.2,0.0
10/09/2020,75.4,3.5,19.6,1.0,0.0
24/09/2020,4.2,28.2,57.2,5.6,4.8
08/10/2020,1.3,17.9,67.6,3.6,9.6
22/10/2020,19.8,15.1,56.9,2.4,5.9
05/11/2020,3.4,43.3,33.4,0.0,19.9
19/11/2020,0.0,11.2,16.5,70.3,1.9
03/12/2020,0.0,16.5,24.0,18.6,41.0
17/12/2020,0.0,38.4,58.2,2.0,1.1
07/01/2021,0.0,49.5,28.6,12.7,8.7
14/01/2021,0.0,8.9,31.7,53.2,5.7
28/01/2021,0.0,51.7,25.9,1.5,20.8
11/02/2021,0.0,28.6,67.6,1.2,2.3
25/02/2021,0.0,27.9,10.8,1.7,59.6
11/03/2021,1.4,28.7,18.8,47.2,3.9
25/03/2021,1.6,20.4,71.2,47.2,6.0
08/04/2021,1.6,12.2,84.8,1.1,1.2
22/04/2021,1.8,78.8,14.5,1.1,4.7
06/05/2021,1.9,25.3,66.6,1.2,5.0
20/05/2021,1.1,52.1,45.3,0.0,1.5
03/06/2021,1.1,38.9,33.8,0.0,26.1
17/06/2021,1.1,88.8,7.6,0.0,2.7
01/07/2021,4.2,50.5,41.5,0.0,3.8
15/07/2021,4.2,80.4,11.7,0.0,6.8
29/07/2021,4.2,82.2,11.6,4.1,1.1
12/08/2021,0.0,76.0,19.2,4.1,4.5
26/08/2021,0.0,82.6,15.0,4.1,1.7
09/09/2021,0.0,84.8,13.4,4.1,1.1
23/09/2021,16.9,25.5,3.8,34.2,19.7
07/10/2021,16.9,25.5,3.8,34.2,19.7
21/10/2021,16.9,25.5,3.8,34.2,19.7
