Date,Not been able to import in the last two weeks,Importing has not been affected,"Importing, but less than normal",Importing more than normal,Not sure
02/07/2020,*,*,*,*,*
16/07/2020,*,*,*,*,*
30/07/2020,0.00%,91.00%,7.70%,0.00%,1.30%
13/08/2020,0.00%,89.70%,10.30%,0.00%,0.00%
27/08/2020,3.30%,20.10%,76.60%,0.00%,0.00%
10/09/2020,1.30%,74.80%,17.70%,0.00%,6.20%
24/09/2020,1.10%,49.70%,4.30%,42.70%,2.20%
08/10/2020,3.00%,38.50%,53.50%,1.60%,3.50%
22/10/2020,3.90%,89.60%,5.30%,*,*
05/11/2020,0.00%,38.10%,42.20%,2.60%,17.10%
19/11/2020,*,10.30%,9.50%,0.00%,79.60%
03/12/2020,4.20%,13.80%,19.40%,0.00%,62.70%
17/12/2020,4.40%,34.60%,40.10%,9.90%,11.00%
07/01/2021,1.20%,42.90%,13.90%,*,41.30%
14/01/2021,43.5%,4.8%,24.3%,21.8%,5.7%
28/01/2021,3.6%,71.5%,9.9%,4.7%,10.1%
11/02/2021,37.9%,6.6%,12.6%,*,42.6%
25/02/2021,3.6%,71.6%,11.3%,0.0%,13.5%
11/03/2021,2.2%,12.8%,75.4%,0.0%,9.6%
25/03/2021,14.9%,22.6%,39.0%,11.0%,12.5%
08/04/2021,37.0%,2.7%,54.5%,*,5.6%
22/04/2021,38.5%,37.3%,13.3%,*,10.7%
06/05/2021,13.5%,21.2%,26.6%,5.0%,33.6%
20/05/2021,5.5%,12.1%,12.6%,*,69.2%
03/06/2021,27.2%,5.7%,8.0%,*,58.7%
17/06/2021,27.0%,9.8%,32.3%,*,30.7%
01/07/2021,4.1%,16.2%,12.8%,*,66.3%
15/07/2021,8.6%,33.5%,22.1%,1.4%,34.5%
29/07/2021,14.9%,37.8%,21.6%,10.9%,14.7%
12/08/2021,12.3%,21.6%,7.1%,9.7%,49.4%
26/08/2021,21.5%,24.6%,21.2%,1.0%,31.6%
09/09/2021,14.1%,29.6%,28.5%,1.3%,26.4%
23/09/2021,34.2%,25.5%,3.8%,16.9%,19.7%
07/10/2021,10.4%,12.4%,3.5%,1.5%,72.2%
21/10/2021,2.3%,44.6%,34.2%,10.3%,8.7%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
