Date,Coronavirus Job Retention Scheme (CJRS),Kickstart Job Scheme for young people,Not sure ,"Not using, or intending to use, either of these schemes",
19/11/2020,46.7%,2.50%,21.70%,30.60%,
03/12/2020,63.30%,5.00%,10.10%,26.60%,
17/12/2020,60.3%,3.1%,10.2%,29.4%,
07/01/2021,61.9%,5.7%,3.8%,33.1%,
14/01/2021,57.5%,2.3%,8.5%,35.3%,
28/01/2021,67.1%,6.6%,5.8%,27.1%,
11/02/2021,67.8%,4.2%,3.1%,29.2%,
25/02/2021,66.9%,8.0%,1.9%,30.6%,
11/03/2021,63.80%,5.10%,6.30%,29.80%,
25/03/2021,67.00%,7.00%,5.30%,28.60%,
08/04/2021,66.40%,8.70%,7.60%,25.90%,
22/04/2021,60.6%,6.2%,8.1%,32.0%,
06/05/2021,64.7%,5.1%,4.5%,28.3%,
20/05/2021,67.9%,7.3%,4.6%,27.0%,
03/06/2021,53.60%,4.10%,6.1%,38.7%,
17/06/2021,54.6%,9.6%,7.5%,33.1%,
01/07/2021,57.1%,6.1%,5.6%,34.8%,
15/07/2021,45.6%,7.9%,5.8%,45.8%,
29/07/2021,53.9%,7.1%,8.8%,32.5%,
12/08/2021,40.2%,4.5%,10.0%,45.7%,
26/08/2021,43.5%,5.2%,8.9%,41.2%,
09/09/2021,49.9%,7.1%,8.5%,36.0%,
23/09/2021,44.3%,6.3%,11.3%,41.4%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
