Date,Turnover has increased by more than 50%,Turnover has increased between 20% and 50%,Turnover has increased by up to 20%,Turnover unaffected,Turnover has decreased by up to 20%,Turnover has decreased between 20% and 50%,Turnover has decreased by more than 50%,Not sure 
02/07/2020,*,2.50%,4.30%,45.20%,18.00%,13.60%,7.80%,8.40%
16/07/2020,*,1.70%,3.20%,46.50%,17.80%,14.50%,9.30%,6.50%
30/07/2020,0.00%,1.70%,3.50%,46.20%,20.30%,13.80%,5.50%,8.90%
13/08/2020,*,1.40%,4.50%,48.00%,18.60%,12.20%,7.50%,7.40%
27/08/2020,*,1.90%,4.90%,47.10%,16.10%,14.90%,6.90%,7.60%
10/09/2020,*,4.70%,3.80%,29.50%,22.40%,21.90%,12.90%,3.90%
24/09/2020,*,*,3.70%,54.20%,18.40%,10.60%,3.90%,8.60%
08/10/2020,*,3.00%,3.00%,48.00%,18.50%,10.90%,4.20%,12.10%
22/10/2020,*,1.10%,2.80%,55.90%,19.00%,9.60%,2.70%,8.70%
05/11/2020,1.50%,*,2.80%,52.70%,17.20%,10.80%,3.00%,11.60%
19/11/2020,*,*,2.90%,53.60%,17.70%,9.50%,7.30%,7.80%
03/12/2020,*,1.00%,1.90%,56.70%,15.70%,9.10%,7.10%,7.80%
17/12/2020,*,1.20%,3.00%,55.50%,16.90%,7.30%,4.90%,10.50%
07/01/2021,*,1.80%,3.90%,59.50%,13.70%,6.70%,5.00%,8.60%
14/01/2021,*,*,2.30%,56.70%,13.50%,9.00%,5.50%,11.70%
28/01/2021,*,1.10%,2.20%,59.30%,12.70%,9.50%,4.40%,10.50%
11/02/2021,*,1.10%,2.10%,57.60%,13.70%,7.10%,5.50%,12.70%
25/02/2021,1.0%,1.6%,3.5%,57.0%,13.8%,6.1%,6.2%,10.8%
11/03/2021,*,2.10%,3.50%,55.20%,14.70%,6.80%,6.20%,10.70%
25/03/2021,*,1.60%,3.00%,59.90%,13.10%,6.20%,6.20%,9.60%
08/04/2021,*,1.80%,4.50%,59.20%,11.40%,6.70%,5.80%,10.00%
22/04/2021,1.10%,1.80%,4.30%,56.40%,12.60%,8.90%,4.80%,10.10%
06/05/2021,*,1.30%,6.20%,58.80%,11.30%,7.40%,4.00%,10.10%
20/05/2021,1.30%,2.00%,5.50%,58.40%,11.30%,8.20%,3.50%,9.70%
03/06/2021,*,1.50%,4.50%,61.70%,12.70%,6.90%,3.00%,9.10%
17/06/2021,*,1.4%,6.4%,59.4%,12.4%,7.0%,2.5%,10.2%
01/07/2021,*,1.90%,6.30%,60.90%,12.10%,6.20%,2.40%,9.60%
15/07/2021,0.00%,2.90%,4.40%,66.20%,10.30%,4.20%,3.30%,8.80%
29/07/2021,*,1.40%,5.90%,65.10%,10.50%,4.30%,2.40%,10.00%
12/08/2021,*,1.3%,5.3%,63.0%,9.9%,5.9%,3.8%,10.4%
26/08/2021,1.60%,2.60%,4.20%,60.90%,5.40%,9.30%,9.30%,6.80%
09/09/2021,*,*,1.50%,65.60%,9.10%,7.10%,8.60%,6.50%
23/09/2021,*,2.50%,1.90%,74.30%,2.40%,3.70%,5.80%,8.50%
07/10/2021,*,5.30%,3.50%,62.40%,7.50%,6.00%,5.40%,9.00%
21/10/2021,1.00%,3.50%,2.10%,67.70%,5.50%,3.20%,8.00%,9.00%
04/11/2021,*,*,2.3%,56.3%,10.7%,12.4%,8.0%,9.5%
18/11/2021,0.0%,1.6%,7.0%,62.6%,6.3%,4.8%,7.9%,9.8%
02/12/2021,*,1.6%,4.0%,55.4%,9.3%,13.9%,6.3%,9.1%
16/12/2021,0.00%,3.10%,4.50%,63.60%,6.60%,5.90%,5.80%,10.50%
