Date,Not been able to import in the last two weeks,Importing has not been affected,"Importing, but less than normal",Importing more than normal,Not sure
02/07/2020,*,50.80%,33.40%,13.70%,1.90%
16/07/2020,0.00%,72.40%,24.80%,1.90%,*
30/07/2020,*,51.40%,33.70%,*,13.30%
13/08/2020,17.20%,36.10%,27.30%,10.30%,9.00%
27/08/2020,1.90%,40.40%,55.20%,1.40%,1.10%
10/09/2020,*,43.00%,51.40%,1.30%,3.70%
24/09/2020,17.20%,53.20%,24.70%,2.00%,3.00%
08/10/2020,*,68.8%,26.8%,1.8%,2.5%
22/10/2020,18.20%,46.30%,30.70%,1.50%,3.30%
05/11/2020,2.90%,40.10%,43.20%,*,13.80%
19/11/2020,1.70%,42.00%,42.20%,1.30%,12.70%
03/12/2020,4.30%,49.50%,28.00%,2.30%,15.80%
17/12/2020,4.30%,62.30%,23.00%,4.90%,5.50%
07/01/2021,12.30%,47.40%,25.40%,5.50%,9.50%
14/01/2021,13.10%,48.60%,15.20%,10.00%,13.10%
28/01/2021,25.0%,35.8%,19.6%,4.4%,15.1%
11/02/2021,14.70%,48.6%,16.2%,3.4%,17.1%
25/02/2021,12.4%,39.4%,21.0%,4.2%,22.9%
11/03/2021,10.2%,42.7%,33.0%,2.0%,12.1%
25/03/2021,9.9%,48.4%,25.0%,2.7%,14.1%
08/04/2021,5.1%,55.5%,24.2%,8.1%,7.1%
22/04/2021,1.7%,47.1%,29.1%,6.7%,15.4%
06/05/2021,4.3%,49.1%,31.4%,4.4%,10.7%
20/05/2021,1.4%,54.5%,26.0%,1.8%,16.3%
03/06/2021,7.3%,60.1%,18.9%,2.3%,11.5%
17/06/2021,2.6%,40.2%,18.4%,9.6%,29.2%
01/07/2021,5.2%,42.2%,24.5%,9.6%,18.6%
15/07/2021,4.0%,50.6%,26.6%,9.8%,9.2%
29/07/2021,3.0%,56.4%,27.4%,1.3%,11.9%
12/08/2021,4.0%,56.2%,16.9%,6.6%,16.3%
26/08/2021,1.4%,59.4%,31.2%,1.5%,6.4%
09/09/2021,5.4%,54.1%,27.9%,2.1%,10.5%
23/09/2021,*,66.0%,20.9%,5.9%,6.4%
07/10/2021,2.2%,55.9%,22.4%,7.9%,11.6%
21/10/2021,3.3%,58.5%,13.6%,7.6%,17.0%
