Date,Retail_The_business_has_stopped_exporting_in_the_last_two_weeks,Retail_Exporting_has_not_been_affected,"Retail_The_business_is_exporting,_but_less_than_normal","Retail_The_business_is_exporting,_but_more_than_normal",Retail_Not_sure,Manufacturing_The_business_has_stopped_exporting_in_the_last_two_weeks,Manufacturing_Exporting_has_not_been_affected,"Manufacturing_The_business_is_exporting,_but_less_than_normal","Manufacturing_The_business_is_exporting,_but_more_than_normal",Manufacturing_Not_sure,Transport_The_business_has_stopped_exporting_in_the_last_two_weeks,Transport_Exporting_has_not_been_affected,"Transport_The_business_is_exporting,_but_less_than_normal","Transport_The_business_is_exporting,_but_more_than_normal",Transport_Not_sure,Information_The_business_has_stopped_exporting_in_the_last_two_weeks,Information_Exporting_has_not_been_affected,"Information_The_business_is_exporting,_but_less_than_normal","Information_The_business_is_exporting,_but_more_than_normal",Information_Not_sure 
01/07/2021,3.2,47.1,16.5,24.1,12.2,1.1,51.2,24.4,13.6,10.3,0.0,49.4,48.0,17.3,2.3,6.1,70.7,12.3,3.2,7.6
02/07/2020,1.0,23.6,34.5,26.6,15.2,1.3,39.4,57.1,2.0,1.3,0.0,14.3,82.4,2.1,1.2,0.0,38.2,60.9,0.0,12.0
03/06/2021,4.7,52.9,26.2,11.8,8.9,1.0,48.3,22.5,7.2,20.9,1.2,23.9,23.6,17.3,35.0,3.6,54.0,21.7,4.3,19.7
03/12/2020,2.5,47.1,40.2,1.0,9.1,3.8,54.8,37.8,1.5,5.4,0.0,19.7,56.3,2.8,23.5,3.8,61.3,25.1,1.0,8.8
05/11/2020,12.2,35.4,37.3,13.1,2.0,1.8,51.2,30.2,5.5,12.3,2.5,51.3,26.4,0.0,19.8,7.9,47.7,35.9,54.3,8.5
06/05/2021,3.5,46.4,21.2,15.1,13.8,3.7,45.3,32.5,5.7,12.7,1.2,4.9,18.5,0.0,76.1,3.6,64.5,16.1,16.2,19.2
07/01/2021,2.3,51.9,32.2,6.3,9.5,1.1,53.8,36.5,2.6,6.0,0.0,54.0,38.3,3.9,3.8,0.0,63.1,16.4,7.7,12.8
07/10/2021,10.4,29.5,28.9,19.3,11.9,1.1,52.1,26.9,2.0,18.5,1.4,64.5,21.0,3.9,9.2,5.0,58.1,19.4,4.7,12.8
08/04/2021,1.9,37.7,34.5,3.0,23.0,2.5,55.4,29.5,2.0,10.6,1.2,7.0,36.0,23.5,32.2,7.0,68.1,15.9,7.2,1.8
08/10/2020,5.4,38.0,27.5,7.8,33.4,5.1,52.6,27.2,1.9,13.3,0.0,27.5,53.9,4.5,17.7,0.0,60.7,37.1,0.0,33.9
09/09/2021,4.2,42.2,27.1,12.2,18.0,4.3,42.6,25.2,5.0,22.9,1.7,50.6,42.5,0.0,5.0,4.0,69.9,15.8,6.2,13.8
10/09/2020,5.4,35.8,28.9,13.2,29.4,3.1,60.5,32.8,8.3,2.9,69.1,18.7,10.9,1.2,0.0,0.0,62.5,18.5,0.0,18.5
11/02/2021,2.0,23.9,37.6,27.1,9.5,3.0,35.4,20.1,22.2,19.3,0.0,51.3,11.1,32.5,4.8,3.9,57.9,32.1,3.8,5.5
11/03/2021,3.9,40.8,32.3,11.2,11.7,2.2,50.4,23.0,16.2,8.2,1.1,6.0,17.0,2.6,75.2,3.9,67.2,25.0,3.5,6.8
12/08/2021,4.2,38.8,31.9,15.9,9.1,1.9,45.9,28.3,3.5,20.4,0.0,76.3,21.6,0.0,1.4,4.0,75.1,17.5,11.8,6.1
13/08/2020,1.0,40.2,31.6,15.5,12.6,2.4,44.9,43.8,8.3,9.6,0.0,45.5,53.1,1.2,1.2,0.0,50.5,48.8,11.6,12.0
14/01/2021,1.6,40.7,27.5,16.8,13.4,2.1,63.1,12.4,11.9,10.5,2.1,25.7,38.7,5.3,28.2,0.0,57.6,23.1,3.8,14.8
15/07/2021,4.6,21.8,36.8,17.2,19.6,3.6,42.5,30.6,9.1,14.2,0.0,86.1,9.3,17.3,4.1,6.1,66.1,18.6,3.5,11.5
16/07/2020,1.0,42.9,34.6,19.8,1.7,1.3,36.4,57.4,3.3,1.7,0.0,9.6,84.5,3.0,2.9,0.0,84.3,14.8,0.0,12.0
17/06/2021,3.2,52.8,25.7,10.1,8.2,1.1,44.1,31.2,3.9,19.8,0.0,78.4,16.4,17.3,4.6,4.4,63.8,18.5,11.6,1.6
17/12/2020,2.3,59.8,29.6,1.1,7.3,3.8,55.3,33.2,6.3,4.3,19.0,31.4,47.0,2.8,2.2,3.8,73.4,12.2,1.0,13.7
19/11/2020,7.3,54.4,26.6,6.9,4.9,3.8,64.1,28.7,5.5,3.0,0.0,21.8,74.0,2.8,1.3,1.1,60.2,27.3,0.0,11.5
20/05/2021,4.7,49.7,22.3,10.8,12.4,3.2,41.5,18.0,7.1,30.2,1.2,76.8,20.1,0.0,1.9,3.6,59.0,23.9,3.1,13.3
21/10/2021,5.8,42.0,30.2,7.3,14.7,3.4,45.9,33.6,2.0,16.2,1.1,45.3,40.4,1.1,12.1,4.1,65.6,15.3,5.0,10.0
22/04/2021,3.7,26.1,31.1,13.5,25.6,6.8,40.9,34.9,11.6,5.8,1.2,39.2,9.5,0.0,50.7,3.6,49.6,23.6,16.2,7.1
22/10/2020,7.1,42.4,10.9,37.9,1.7,1.8,41.3,13.0,36.6,7.2,3.0,23.4,17.4,53.9,2.3,0.0,31.9,13.5,54.3,33.9
23/09/2021,2.6,44.9,34.2,8.1,10.1,1.1,44.9,24.1,7.5,22.4,0.0,62.5,34.5,0.0,2.7,5.8,62.4,7.0,4.9,20.0
24/09/2020,5.4,27.8,58.4,7.8,5.7,13.6,32.0,29.5,9.2,15.7,1.6,56.0,35.3,4.5,2.7,0.0,61.0,5.0,0.0,33.9
25/02/2021,2.0,28.2,34.3,23.6,13.2,7.0,44.0,25.2,16.1,7.8,0.0,33.5,16.1,2.6,47.3,3.9,54.6,32.7,3.5,8.4
25/03/2021,3.9,34.5,31.0,10.8,22.9,1.3,49.6,32.0,9.1,8.0,1.9,11.3,13.9,31.8,41.1,3.9,54.1,32.5,7.7,5.0
26/08/2021,4.2,40.8,30.5,15.4,12.7,1.9,51.1,32.9,1.9,13.1,0.0,29.4,70.3,0.0,1.4,4.0,66.3,12.6,6.2,14.1
27/08/2020,1.0,37.2,47.9,13.2,1.2,1.0,64.9,30.5,8.3,2.8,0.0,37.5,61.9,1.2,0.0,0.0,80.4,6.5,1.1,12.0
28/01/2021,2.9,37.7,25.3,15.1,18.9,5.2,50.1,19.7,13.7,11.3,0.0,18.1,54.0,2.0,26.0,0.0,65.1,19.9,3.8,14.2
29/07/2021,5.7,30.9,43.6,9.4,10.4,2.5,49.1,33.4,8.0,6.9,0.0,81.8,16.7,0.0,1.5,4.0,64.2,18.5,11.8,1.4
30/07/2020,1.0,27.8,38.8,5.6,27.7,1.3,48.6,40.5,1.0,9.6,0.0,29.3,68.3,1.2,1.2,0.0,63.0,25.1,11.6,12.0
