Date,Hospitality_Turnover_Has_Increased_By_More_Than_50%,Hospitality_Turnover_Has_Increased_Between_20%_And_50%,Hospitality_Turnover_Has_Increased_By_Up_To_20%,Hospitality_Turnover_Unaffected,Hospitality_Turnover_Has_Decreased_By_Up_To_20%,Hospitality_Turnover_Has_Decreased_Between_20%_And_50%,Hospitality_Turnover_Has_Decreased_By_More_Than_50%,Hospitality_Not_Sure_,Retail_Turnover_has_increased_by_more_than_50%,Retail_Turnover_has_increased_between_20%_and_50%,Retail_Turnover_has_increased_by_up_to_20%,Retail_Turnover_unaffected,Retail_Turnover_has_decreased_by_up_to_20%,Retail_Turnover_has_decreased_between_20%_and_50%,Retail_Turnover_has_decreased_by_more_than_50%,Retail_Not_sure_,Manufacturing_Turnover_has_increased_by_more_than_50%,Manufacturing_Turnover_has_increased_between_20%_and_50%,Manufacturing_Turnover_has_increased_by_up_to_20%,Manufacturing_Turnover_unaffected,Manufacturing_Turnover_has_decreased_by_up_to_20%,Manufacturing_Turnover_has_decreased_between_20%_and_50%,Manufacturing_Turnover_has_decreased_by_more_than_50%,Manufacturing_Not_sure ,Transport_Turnover_has_increased_by_more_than_50%,Transport_Turnover_has_increased_between_20%_and_50%,Transport_Turnover_has_increased_by_up_to_20%,Transport_Turnover_unaffected,Transport_Turnover_has_decreased_by_up_to_20%,Transport_Turnover_has_decreased_between_20%_and_50%,Transport_Turnover_has_decreased_by_more_than_50%,Transport_Not_sure ,Information_Turnover_has_increased_by_more_than_50%,Information_Turnover_has_increased_between_20%_and_50%,Information_Turnover_has_increased_by_up_to_20%,Information_Turnover_unaffected,Information_Turnover_has_decreased_by_up_to_20%,Information_Turnover_has_decreased_between_20%_and_50%,Information_Turnover_has_decreased_by_more_than_50%,Information_Not_sure 
01/07/2021,1.9,4.6,12.8,16.2,14.8,21.4,15.3,13.0,1.0,5.3,13.7,42.7,15.4,8.9,2.9,10.1,1.3,3.2,9.1,51.3,15.6,9.9,2.3,8.1,0.0,3.6,12.3,48.3,11.9,7.7,6.0,9.2,1.3,1.9,6.3,60.9,12.1,6.2,2.4,9.6
02/07/2020,3.2,4.2,4.4,6.9,3.8,7.4,58.6,15.2,2.5,6.2,10.7,12.7,12.7,24.1,24.1,7.0,1.2,1.6,5.4,20.9,16.7,29.6,21.7,3.2,1.7,1.9,8.4,17.4,22.9,17.4,25.4,5.0,0.0,2.5,4.3,45.2,18.0,13.6,7.8,8.4
02/12/2021,2.2,2.1,1.7,54.5,12.1,8.3,5.6,13.4,1.1,3.5,10.1,37.8,20.2,11.6,3.0,12.6,0.0,3.1,4.5,63.6,6.6,5.9,5.8,10.5,1.2,0.0,10.0,34.6,13.0,4.0,12.2,24.5,0.0,1.6,4.0,55.4,9.3,13.9,6.3,9.1
03/06/2021,1.8,3.7,8.8,12.2,12.6,21.5,29.0,10.3,1.5,5.7,13.8,40.0,14.4,12.4,3.1,9.1,1.3,3.9,9.9,48.2,15.8,9.0,4.0,8.8,0.0,3.7,10.5,46.8,13.6,6.3,8.5,10.1,1.3,1.5,4.5,61.7,12.7,6.9,3.0,9.1
03/12/2020,0.0,2.2,4.1,9.0,14.2,22.0,43.1,4.5,1.4,3.4,8.8,30.4,21.2,15.6,11.6,8.3,1.1,2.1,7.8,39.6,21.8,15.9,5.3,6.8,1.1,1.1,5.3,38.8,18.8,12.7,12.2,9.9,1.5,1.0,1.9,56.7,15.7,9.1,7.1,7.8
04/11/2021,1.2,3.2,3.4,53.3,9.7,5.3,6.4,17.6,1.1,2.7,8.1,43.7,17.8,10.6,2.5,13.5,0.0,1.6,7.0,62.6,6.3,4.8,7.9,9.8,0.0,0.0,1.3,39.1,10.9,9.9,8.2,30.6,1.0,3.5,2.3,56.3,10.7,12.4,8.0,9.5
05/11/2020,0.0,2.5,7.3,13.5,18.0,28.6,25.0,5.1,1.4,5.3,9.6,34.5,22.7,12.8,5.6,8.0,1.1,1.6,9.0,40.4,23.3,14.9,4.4,5.9,1.1,4.1,7.3,35.6,17.0,11.5,15.5,8.5,1.5,1.1,2.8,52.7,17.2,10.8,3.0,11.6
06/05/2021,3.8,2.3,2.0,16.1,15.2,19.9,25.2,15.4,2.1,5.7,13.8,36.5,15.0,11.5,6.1,9.3,1.1,3.5,9.8,48.6,15.4,11.0,3.2,7.5,0.0,3.7,8.7,46.7,15.1,8.4,8.5,8.9,1.1,1.3,6.2,58.8,11.3,7.4,4.0,10.1
07/01/2021,0.0,2.2,5.6,8.3,13.0,19.2,45.6,5.5,1.1,4.0,9.8,35.2,20.1,15.7,5.7,8.4,1.1,2.7,7.7,43.3,21.9,13.1,3.9,6.7,1.0,3.1,6.5,45.1,14.0,10.4,10.5,9.4,1.5,1.8,3.9,59.5,13.7,6.7,5.0,8.6
07/10/2021,0.0,4.8,13.3,41.7,13.2,12.5,6.5,8.0,1.0,1.4,7.9,45.6,13.4,10.5,6.1,15.4,0.0,2.3,5.5,49.6,19.5,8.1,7.4,7.5,0.0,0.0,3.7,45.1,5.6,10.6,6.0,28.5,1.6,5.3,3.5,62.4,7.5,6.0,5.4,9.0
