Date,Hospitality_Not_been_able_to_import_in_the_last_two_weeks,Hospitality_Importing_has_not_been_affected,"Hospitality_Importing,_but_less_than_normal",Hospitality_Importing_more_than_normal,Hospitality_Not_sure,Retail_Not_been_able_to_import_in_the_last_two_weeks,Retail_Importing_has_not_been_affected,"Retail_Importing,_but_less_than_normal",Retail_Importing_more_than_normal,Retail_Not_sure,Manufacturing_Not_been_able_to_import_in_the_last_two_weeks,Manufacturing_Importing_has_not_been_affected,"Manufacturing_Importing,_but_less_than_normal",Manufacturing_Importing_more_than_normal,Manufacturing_Not_sure,Transport_Not_been_able_to_import_in_the_last_two_weeks,Transport_Importing_has_not_been_affected,"Transport_Importing,_but_less_than_normal",Transport_Importing_more_than_normal,Transport_Not_sure,Information_Not_been_able_to_import_in_the_last_two_weeks,Information_Importing_has_not_been_affected,"Information_Importing,_but_less_than_normal",Information_Importing_more_than_normal,Information_Not_sure
01/07/2021,4.1,16.2,12.8,5.0,66.3,4.5,39.2,30.5,9.9,15.9,5.2,42.2,24.5,9.6,18.6,4.2,50.5,41.5,0.0,3.8,7.7,71.1,18.5,0.0,2.6
02/07/2020,0.0,91.0,7.7,0.0,1.3,3.3,46.2,41.0,5.3,6.7,0.0,50.8,33.4,13.7,1.9,0.0,15.6,77.1,3.6,3.6,0.0,72.7,26.3,0.0,18.5
03/06/2021,27.2,5.7,8.0,5.0,58.7,3.0,41.0,33.2,13.9,8.8,7.3,60.1,18.9,2.3,11.5,1.1,38.9,33.8,0.0,26.1,12.9,66.5,13.8,0.0,19.0
03/12/2020,4.2,13.8,19.4,0.0,62.7,8.1,44.7,38.4,2.5,6.3,4.3,49.5,28.0,2.3,15.8,0.0,16.5,24.0,18.6,41.0,0.0,63.6,25.1,4.4,6.7
05/11/2020,0.0,38.1,42.2,2.6,17.1,1.9,39.4,25.2,23.6,9.8,2.9,40.1,43.2,1.5,13.8,3.4,43.3,33.4,0.0,19.9,0.0,66.2,8.2,25.1,1.2
06/05/2021,13.5,21.2,26.6,5.0,33.6,5.2,35.3,34.0,9.4,16.1,4.3,49.1,31.4,4.4,10.7,1.9,25.3,66.6,1.2,5.0,7.7,62.6,12.0,5.4,12.4
07/01/2021,1.2,42.9,13.9,9.9,41.3,5.7,37.1,40.0,10.6,6.5,12.3,47.4,25.4,5.5,9.5,0.0,49.5,28.6,12.7,8.7,9.4,65.2,19.5,5.5,8.5
07/10/2021,10.4,12.4,3.5,1.5,72.2,6.2,42.0,29.8,3.1,18.9,2.2,55.9,22.4,7.9,11.6,16.9,25.5,3.8,34.2,19.7,1.2,53.9,7.1,6.8,31.8
08/04/2021,37.0,2.7,54.5,11.0,5.6,2.1,36.4,33.8,12.7,15.0,5.1,55.5,24.2,8.1,7.1,1.6,12.2,84.8,1.1,1.2,5.5,61.8,19.7,4.7,8.2
08/10/2020,3.0,38.5,53.5,1.6,3.5,11.0,58.9,16.1,1.1,12.8,17.2,68.8,26.8,1.8,2.5,1.3,17.9,67.6,3.6,9.6,0.0,61.2,19.9,0.0,18.0
09/09/2021,14.1,29.6,28.5,1.3,26.4,3.7,53.8,25.2,3.1,14.3,5.4,54.1,27.9,2.1,10.5,0.0,84.8,13.4,4.1,1.1,1.2,75.4,9.6,6.3,7.6
10/09/2020,1.3,74.8,17.7,0.0,6.2,5.6,67.3,24.2,6.2,1.7,1.9,43.0,51.4,1.3,3.7,75.4,3.5,19.6,1.0,0.0,0.0,72.3,2.5,0.0,25.2
11/02/2021,37.9,6.6,12.6,4.7,42.6,2.0,39.2,26.9,16.9,15.1,14.7,48.6,16.2,3.4,17.1,0.0,28.6,67.6,1.2,2.3,6.7,67.7,1.5,7.0,17.0
11/03/2021,2.2,12.8,75.4,0.0,9.6,2.1,33.3,32.1,19.3,13.1,10.2,42.7,33.0,2.0,12.1,1.4,28.7,18.8,47.2,3.9,0.0,78.7,19.6,0.0,1.6
12/08/2021,12.3,21.6,7.1,9.7,49.4,5.6,50.0,25.4,9.5,9.5,4.0,56.2,16.9,6.6,16.3,0.0,76.0,19.2,4.1,4.5,10.3,48.9,22.9,5.9,12.0
13/08/2020,0.0,89.7,10.3,0.0,0.0,2.9,57.5,31.1,4.5,4.0,17.2,36.1,27.3,10.3,9.0,1.2,26.4,69.6,2.2,0.0,0.0,41.3,57.5,0.0,18.5
14/01/2021,43.5,4.8,24.3,21.8,5.7,4.9,40.5,28.1,11.8,14.7,13.1,48.6,15.2,10.0,13.1,0.0,8.9,31.7,53.2,5.7,4.7,49.9,22.5,5.5,17.3
