Date,Hospitality_Job_Retention_Bonus,Hospitality_Kickstart_Job_Scheme_for_young_people,Hospitality_Not_sure_,"Hospitality_Not_using,_or_intending_to_use,_either_of_these_schemes",Retail_Coronavirus_Job_Retention_Scheme_(CJRS),Retail_Kickstart_Job_Scheme_for_young_people,Retail_Not_sure_,"Retail_Not_using,_or_intending_to_use,_either_of_these_schemes",Manufacturing_Job_Retention_Bonus,Manufacturing_Kickstart_Job_Scheme_for_young_people,Manufacturing_Not_sure_,"Manufacturing_Not_using,_or_intending_to_use,_either_of_these_schemes",Transport_Job_Retention_Bonus,Transport_Kickstart_Job_Scheme_for_young_people,Transport_Not_sure_,"Transport_Not_using,_or_intending_to_use,_either_of_these_schemes",Information_Job_Retention_Bonus,Information_Kickstart_Job_Scheme_for_young_people,Information_Not_sure_,"Information_Not_using,_or_intending_to_use,_either_of_these_schemes"
01/07/2021,19.0,1.6,4.7,72.6,31.7,2.6,10.0,50.9,36.3,1.2,14.4,46.1,14.7,1.6,14.8,64.5,19.0,1.6,4.7,72.6
03/06/2021,21.0,1.0,4.4,70.9,37.8,1.2,10.1,48.3,46.5,1.7,5.1,45.9,20.1,4.4,7.3,66.9,21.0,1.0,4.4,70.9
03/12/2020,25.0,1.0,5.8,69.7,36.6,2.1,13.7,49.0,38.2,2.6,11.0,48.9,21.3,6.4,12.8,62.8,25.0,1.0,5.8,69.7
06/05/2021,17.5,1.7,3.5,75.3,42.1,2.5,5.6,47.0,43.5,1.9,12.9,42.5,17.6,1.9,17.6,57.7,17.5,1.7,3.5,75.3
07/01/2021,15.0,1.5,4.8,78.7,36.5,1.0,9.6,53.6,38.2,2.1,8.4,51.9,21.4,2.5,8.1,68.4,15.0,1.5,4.8,78.7
08/04/2021,19.6,1.0,3.6,76.5,41.6,3.7,6.8,51.3,49.1,2.4,9.9,40.8,14.4,1.9,4.6,80.9,19.6,1.0,3.6,76.5
09/09/2021,18.6,1.1,7.0,72.4,25.1,2.2,10.9,59.5,32.3,1.4,9.8,62.9,18.6,1.1,7.0,72.4,18.6,1.1,7.0,72.4
11/02/2021,20.7,1.8,4.6,73.8,45.6,3.5,8.6,43.5,48.7,4.9,4.9,46.1,17.3,1.9,10.7,70.1,20.7,1.8,4.6,73.8
11/03/2021,20.1,1.1,4.6,74.3,45.1,1.6,8.3,46.2,38.6,3.3,8.7,51.5,19.8,1.9,12.1,68.0,20.1,1.1,4.6,74.3
12/08/2021,16.4,1.5,7.9,65.1,29.5,1.8,11.5,49.8,32.3,1.5,11.5,49.8,16.1,1.6,5.1,74.3,16.4,1.5,7.9,65.1
14/01/2021,20.9,1.0,4.7,73.5,39.1,1.0,11.5,49.1,36.4,2.3,5.8,57.5,17.9,2.5,11.9,70.1,20.9,1.0,4.7,73.5
15/07/2021,19.4,1.2,5.5,72.8,25.8,2.4,9.3,59.5,30.1,2.0,3.1,60.5,18.7,1.6,5.5,72.8,19.4,1.2,5.5,72.8
17/06/2021,26.3,1.6,9.8,59.8,30.1,2.7,7.7,59.8,31.7,2.6,10.0,50.9,26.3,1.6,9.8,59.8,26.3,1.6,9.8,59.8
17/12/2020,21.0,1.0,6.1,72.7,35.2,1.4,11.1,53.6,34.4,1.7,9.3,55.4,28.0,6.4,12.7,59.3,21.0,1.0,6.1,72.7
19/11/2020,15.1,2.0,9.3,74.6,32.6,2.9,13.4,54.4,37.4,2.3,12.6,49.4,27.7,6.4,23.6,50.6,15.1,2.0,9.3,74.6
20/05/2021,23.3,1.7,2.9,69.5,37.9,1.9,12.7,45.3,45.0,3.0,12.2,41.5,16.3,4.4,9.8,68.4,23.3,1.7,2.9,69.5
22/04/2021,24.4,2.5,4.6,64.9,43.3,3.0,10.0,42.3,42.0,1.9,6.9,44.4,13.4,1.9,15.0,59.2,24.4,2.5,4.6,64.9
23/09/2021,22.2,1.1,5.4,70.5,27.2,2.1,15.7,51.4,29.9,1.2,11.4,52.7,7.8,1.1,22.4,66.0,22.2,1.1,5.4,70.5
25/02/2021,18.9,1.8,5.6,76.0,50.3,1.7,6.4,42.6,43.0,3.2,6.8,48.2,21.8,1.9,6.4,71.8,18.9,1.8,5.6,76.0
25/03/2021,23.2,1.0,4.6,71.3,45.0,3.2,7.7,46.5,43.3,4.7,9.8,45.0,21.3,1.9,11.3,67.3,23.2,1.0,4.6,71.3
26/08/2021,16.5,1.5,3.6,75.8,22.3,1.1,9.8,62.9,32.1,1.6,9.7,55.7,11.8,1.6,14.3,69.0,16.5,1.5,3.6,75.8
28/01/2021,51.3,0.0,26.3,4.4,40.3,2.2,9.8,48.9,30.4,1.4,16.5,53.0,23.1,2.5,14.5,62.3,51.3,0.0,26.3,4.4
29/07/2021,13.3,1.4,7.9,74.4,25.2,3.5,12.8,54.9,39.9,1.4,11.4,46.8,11.3,1.6,17.7,66.2,13.3,1.4,7.9,74.4
