Date,Hospitality_On_furlough_leave_,Hospitality_Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay_,Hospitality_Made_permanently_redundant_,Hospitality_Working_at_their_normal_place_of_work_,Hospitality_Working_remotely_instead_of_at_their_normal_place_of_work_,Hospitality_Other_,Retail_On_furlough_leave,Retail_Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay,Retail_Made_permanently_redundant,Retail_Working_at_their_normal_place_of_work,Retail_Working_remotely_instead_of_at_their_normal_place_of_work,Retail_Other,Manufacturing_On_furlough_leave,Manufacturing_Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay,Manufacturing_Made_permanently_redundant,Manufacturing_Working_at_their_normal_place_of_work,Manufacturing_Working_remotely_instead_of_at_their_normal_place_of_work,Manufacturing_Other,Transport_On_furlough_leave,Transport_Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay,Transport_Made_permanently_redundant,Transport_Working_at_their_normal_place_of_work,Transport_Working_remotely_instead_of_at_their_normal_place_of_work,Transport_Other,Information_On_furlough_leave,Information_Off_sick_or_in_self-isolation_due_to_coronavirus_(COVID-19)_with_statutory_or_company_pay,Information_Made_permanently_redundant,Information_Working_at_their_normal_place_of_work,Information_Working_remotely_instead_of_at_their_normal_place_of_work,Information_Other
01/07/2021,12.9,1.3,2.4,80.3,5.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2020,68.5,1.0,1.0,25.8,4.2,1.9,28.1,3.0,1.2,44.1,23.7,1.5,20.4,2.0,0.0,53.7,22.9,1.7,29.1,1.9,1.2,49.0,18.8,1.3,10.8,1.0,2.1,12.8,74.5,1.2
03/06/2021,14.0,1.3,2.4,77.8,6.1,1.3,5.5,1.2,1.2,65.8,25.9,1.4,4.8,1.0,0.0,72.4,21.4,1.0,12.3,1.5,0.0,69.7,16.4,1.6,2.5,1.0,0.0,15.9,80.4,1.3
03/12/2020,44.1,1.6,2.4,48.4,4.2,1.4,17.1,1.7,1.2,53.4,26.2,1.2,4.9,2.1,0.0,69.5,22.3,1.1,11.8,2.0,1.1,63.0,18.5,3.6,3.5,1.0,2.1,17.0,77.9,1.2
05/11/2020,17.5,1.7,1.6,72.6,5.8,1.4,5.6,1.5,1.2,73.9,17.3,1.4,3.8,1.8,0.0,72.3,21.0,1.1,10.9,1.9,1.2,68.8,16.7,1.3,3.0,1.0,2.1,23.3,71.5,1.2
06/05/2021,38.0,1.3,2.4,51.8,7.8,1.4,10.8,1.2,1.2,61.1,26.3,1.3,5.7,1.2,0.0,71.5,20.5,1.0,12.9,1.4,0.0,68.8,16.2,1.6,3.4,1.0,0.0,14.2,81.4,1.3
07/01/2021,32.7,1.4,2.4,58.1,6.9,1.4,8.5,1.6,1.2,63.3,25.4,1.3,3.8,1.8,0.0,70.7,22.4,1.1,12.2,2.2,1.5,64.8,20.0,2.5,3.4,1.0,2.1,16.1,79.2,1.2
07/10/2021,5.4,1.1,2.4,85.2,3.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2021,50.5,1.3,2.4,39.7,7.1,1.5,23.3,1.4,1.2,46.5,27.4,1.3,4.9,1.4,0.0,68.8,23.8,1.4,14.1,1.7,0.0,68.4,15.5,1.6,4.7,1.0,0.0,13.2,81.2,1.3
08/10/2020,27.4,1.0,1.6,62.3,6.2,1.4,5.9,1.0,1.2,69.9,21.3,1.2,5.3,1.2,0.0,72.3,19.9,1.1,14.7,1.5,1.6,64.4,17.3,1.3,4.0,1.0,2.1,20.0,74.3,1.4
09/09/2021,7.8,1.1,2.4,80.9,3.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2020,31.5,1.0,1.2,54.8,7.8,3.8,8.4,1.3,1.2,67.3,21.8,1.2,8.9,1.1,0.0,68.9,20.0,1.1,17.0,1.2,1.0,58.9,20.7,1.3,5.8,1.0,2.1,21.5,71.4,1.4
11/02/2021,50.8,1.5,2.4,40.3,6.6,1.4,21.9,1.7,1.2,44.6,30.6,1.0,5.2,2.6,0.0,68.6,22.5,1.0,14.2,2.4,0.0,66.5,16.7,2.5,4.8,1.0,0.0,12.4,81.9,1.3
11/03/2021,49.8,1.3,2.4,39.6,7.8,1.3,22.9,1.6,1.2,46.7,27.3,1.4,5.8,1.9,0.0,68.3,23.2,1.4,17.3,1.9,0.0,64.6,15.6,2.5,7.7,1.0,0.0,10.8,80.2,1.3
12/08/2021,6.8,3.1,2.4,82.4,6.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2020,39.5,1.0,1.0,46.1,9.9,3.0,15.1,1.3,1.2,58.4,22.4,2.0,13.1,1.4,0.0,62.9,21.5,1.7,23.7,1.2,1.2,58.9,15.4,1.3,7.4,1.0,2.1,17.4,74.2,1.2
14/01/2021,41.7,1.6,2.4,49.5,6.6,1.4,13.3,1.8,1.2,56.3,27.9,1.3,4.4,1.9,0.0,69.2,21.7,2.6,9.4,2.0,1.5,65.4,22.0,2.5,4.5,1.0,2.1,15.8,78.1,1.0
15/07/2021,9.9,1.3,2.4,82.0,5.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2020,62.7,1.0,1.0,28.4,5.7,1.9,19.3,3.1,1.2,45.6,30.0,1.5,15.9,2.1,0.0,54.6,25.4,1.7,28.7,1.6,1.2,49.6,18.6,1.3,9.2,1.0,2.1,9.8,77.5,1.2
17/06/2021,13.7,1.3,2.4,78.2,6.1,1.3,5.5,1.2,1.2,65.8,25.9,1.4,5.5,1.0,0.0,71.9,20.8,1.0,13.8,1.1,0.0,67.6,17.0,1.6,2.3,1.0,0.0,17.4,79.1,1.3
17/12/2020,42.1,1.4,2.4,49.4,6.0,1.4,17.7,1.6,1.2,54.2,24.9,1.3,4.5,1.9,0.0,72.1,20.4,1.1,12.4,1.9,1.5,61.9,19.7,2.5,3.8,1.0,2.1,15.7,78.9,1.2
19/11/2020,21.9,1.7,2.4,67.9,5.5,1.4,8.4,1.2,1.2,70.7,18.2,1.4,4.0,2.1,0.0,71.5,20.9,1.1,10.3,1.9,1.2,65.4,20.3,1.0,2.5,1.0,2.1,18.6,77.0,1.2
20/05/2021,21.1,1.3,2.4,70.8,5.6,1.9,6.7,1.1,1.2,63.0,28.0,1.1,6.0,1.0,0.0,70.2,22.0,1.0,14.3,1.3,0.0,66.3,17.7,1.6,2.3,1.0,0.0,15.3,81.4,1.3
21/10/2021,4.4,1.1,2.4,87.0,2.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2021,44.8,1.3,2.4,46.3,6.6,1.3,20.7,1.2,1.2,50.2,26.6,1.3,5.9,1.5,0.0,69.8,21.6,1.1,11.6,1.5,0.0,70.7,15.5,1.6,6.7,1.0,0.0,12.0,80.7,1.3
22/10/2020,24.0,1.3,1.6,66.5,6.2,1.4,6.9,1.0,1.2,73.3,17.8,1.2,5.0,1.4,0.0,72.3,19.6,1.1,12.9,1.6,1.6,64.8,19.5,1.3,2.9,1.0,2.1,17.2,76.8,2.4
23/09/2021,8.0,1.1,2.4,83.6,3.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2020,29.0,1.1,1.0,63.4,4.3,1.1,8.1,1.0,1.2,66.6,22.0,1.2,6.5,1.1,0.0,71.4,19.6,1.1,15.8,2.2,1.6,61.9,17.2,1.3,4.2,1.0,2.1,23.0,71.0,1.4
25/02/2021,54.5,1.4,2.4,37.0,5.3,1.7,24.6,1.7,1.2,43.7,29.0,1.0,6.4,2.1,0.0,67.4,22.6,1.4,13.4,2.5,0.0,68.0,15.5,2.5,5.7,1.0,0.0,12.5,80.4,1.3
25/03/2021,50.3,1.3,2.4,39.9,7.4,1.3,22.3,1.5,1.2,47.0,27.8,1.3,5.7,1.7,0.0,68.9,23.1,1.4,18.8,1.6,0.0,62.1,15.9,1.6,5.6,1.0,0.0,12.5,80.8,1.3
26/08/2021,9.7,1.6,2.4,80.6,3.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
