Date,On furlough leave ,Off sick or in self-isolation due to coronavirus (COVID-19) with statutory or company pay ,Made permanently redundant ,Working at their normal place of work ,Working remotely instead of at their normal place of work ,Other 
02/07/2020,68.50%,1.00%,*,25.80%,4.20%,*
16/07/2020,62.70%,*,*,28.40%,5.70%,1.90%
30/07/2020,49.60%,*,*,37.60%,7.80%,3.70%
13/08/2020,39.50%,*,*,46.10%,9.90%,3.00%
27/08/2020,30.40%,*,1.00%,54.80%,8.60%,4.30%
10/09/2020,31.50%,*,1.20%,54.80%,7.80%,3.80%
24/09/2020,29.00%,1.10%,1.00%,63.40%,4.30%,1.10%
08/10/2020,27.40%,1.00%,1.60%,62.30%,6.20%,1.40%
22/10/2020,24.00%,1.30%,1.60%,66.50%,6.20%,*
05/11/2020,17.50%,1.70%,1.60%,72.60%,5.80%,*
19/11/2020,21.90%,1.70%,2.40%,67.90%,5.50%,*
03/12/2020,44.10%,1.60%,*,48.40%,4.20%,*
17/12/2020,42.10%,1.40%,*,49.40%,6.00%,*
07/01/2021,32.70%,1.40%,*,58.10%,6.90%,*
14/01/2021,41.70%,1.60%,*,49.50%,6.60%,*
28/01/2021,47.30%,1.60%,*,43.60%,5.50%,1.40%
11/02/2021,50.80%,1.50%,*,40.30%,6.60%,*
25/02/2021,54.50%,1.40%,*,37.00%,5.30%,1.70%
11/03/2021,49.80%,1.30%,*,39.60%,7.80%,1.30%
25/03/2021,50.30%,*,*,39.90%,7.40%,1.30%
08/04/2021,50.50%,*,*,39.70%,7.10%,1.50%
22/04/2021,44.80%,*,*,46.30%,6.60%,1.30%
06/05/2021,38.00%,*,*,51.80%,7.80%,1.40%
20/05/2021,21.10%,*,*,70.80%,5.60%,1.90%
03/06/2021,14.00%,*,*,77.80%,6.10%,1.30%
17/06/2021,13.70%,*,*,78.20%,6.10%,1.30%
01/07/2021,12.90%,*,*,80.30%,5.30%,1.20%
15/07/2021,9.90%,*,*,82.00%,5.90%,2.00%
29/07/2021,9.00%,*,*,84.30%,4.70%,1.60%
12/08/2021,6.80%,3.10%,*,82.40%,6.50%,1.10%
26/08/2021,9.70%,1.60%,*,80.60%,3.40%,4.50%
09/09/2021,7.80%,1.10%,*,80.90%,3.30%,6.50%
23/09/2021,8.00%,*,*,83.60%,3.30%,4.30%
07/10/2021,5.40%,*,*,85.20%,3.00%,5.60%
21/10/2021,4.40%,*,*,87.00%,2.80%,4.40%
