Date,Coronavirus Job Retention Scheme (CJRS),Kickstart Job Scheme for young people,Not sure ,"Not using, or intending to use, either of these schemes"
19/11/2020,46.70%,2.50%,21.70%,30.60%
03/12/2020,63.30%,5.00%,10.10%,26.60%
17/12/2020,60.30%,3.10%,10.20%,29.40%
07/01/2021,61.90%,5.70%,3.80%,33.10%
14/01/2021,57.50%,2.30%,8.50%,35.30%
28/01/2021,67.10%,6.60%,5.80%,27.10%
11/02/2021,67.80%,4.20%,3.10%,29.20%
25/02/2021,66.90%,8.00%,1.90%,30.60%
11/03/2021,63.80%,5.10%,6.30%,29.80%
25/03/2021,67.00%,7.00%,5.30%,28.60%
08/04/2021,66.40%,8.70%,7.60%,25.90%
22/04/2021,60.60%,6.20%,8.10%,32.00%
06/05/2021,64.70%,5.10%,4.50%,28.30%
20/05/2021,67.90%,7.30%,4.60%,27.00%
03/06/2021,53.60%,4.10%,6.10%,38.70%
17/06/2021,54.60%,9.60%,7.50%,33.10%
01/07/2021,57.10%,6.10%,5.60%,34.80%
15/07/2021,45.60%,7.90%,5.80%,45.80%
29/07/2021,53.90%,7.10%,8.80%,32.50%
12/08/2021,40.20%,4.50%,10.00%,45.70%
26/08/2021,43.50%,5.20%,8.90%,41.20%
09/09/2021,49.90%,7.10%,8.50%,36.00%
23/09/2021,44.30%,6.30%,11.30%,41.40%
