Date,The business has stopped exporting in the last two weeks ,Exporting has not been affected ,"The business is exporting, but less than normal","The business is exporting, but more than normal",Not sure 
02/07/2020,*,38.2%,60.9%,*,*
16/07/2020,*,84.30%,14.80%,0.00%,*
30/07/2020,0.00%,63.00%,25.10%,11.60%,*
13/08/2020,*,50.5%,48.8%,*,*
27/08/2020,0.0%,80.4%,6.5%,1.1%,12.0%
10/09/2020,*,62.5%,18.5%,0.0%,18.5%
24/09/2020,*,61.00%,5.00%,0.00%,33.90%
08/10/2020,*,60.7%,37.1%,*,*
22/10/2020,*,31.90%,13.50%,54.30%,*
05/11/2020,7.9%,47.7%,35.9%,*,8.5%
19/11/2020,1.1%,60.2%,27.3%,0.0%,11.5%
03/12/2020,3.80%,61.30%,25.10%,1.00%,8.80%
17/12/2020,*,73.40%,12.20%,*,13.70%
07/01/2021,0.0%,63.1%,16.4%,7.7%,12.8%
14/01/2021,*,57.60%,23.10%,3.80%,14.80%
28/01/2021,*,65.10%,19.90%,*,14.20%
11/02/2021,3.90%,57.90%,32.10%,*,5.50%
25/02/2021,*,54.60%,32.70%,3.50%,8.40%
11/03/2021,*,67.2%,25.0%,*,6.8%
25/03/2021,*,54.1%,32.5%,7.7%,5.0%
08/04/2021,7.00%,68.10%,15.90%,7.20%,1.80%
22/04/2021,3.60%,49.60%,23.60%,16.20%,7.10%
06/05/2021,*,64.50%,16.10%,*,19.20%
20/05/2021,*,59.00%,23.90%,3.10%,13.30%
03/06/2021,*,54.00%,21.70%,4.30%,19.70%
17/06/2021,4.40%,63.80%,18.50%,11.60%,1.60%
01/07/2021,6.10%,70.70%,12.30%,3.20%,7.60%
15/07/2021,*,66.10%,18.60%,3.50%,11.50%
29/07/2021,4.00%,64.20%,18.50%,11.80%,1.40%
12/08/2021,*,75.1%,17.5%,*,6.1%
26/08/2021,*,66.30%,12.60%,6.20%,14.10%
09/09/2021,*,69.90%,15.80%,*,13.80%
23/09/2021,5.8%,62.4%,7.0%,4.9%,20.0%
07/10/2021,5.00%,58.10%,19.40%,4.70%,12.80%
21/10/2021,4.10%,65.60%,15.30%,5.00%,10.00%
