Date,Not been able to import in the last two weeks,Importing has not been affected,"Importing, but less than normal",Importing more than normal,Not sure
02/07/2020,*,72.70%,26.30%,*,*
16/07/2020,*,95.70%,3.90%,*,*
30/07/2020,0.00%,55.60%,25.90%,0.00%,18.50%
13/08/2020,*,41.30%,57.50%,*,*
27/08/2020,0.00%,91.00%,7.00%,*,1.80%
10/09/2020,0.00%,72.30%,2.50%,0.00%,25.20%
24/09/2020,*,33.30%,24.20%,0.00%,42.40%
08/10/2020,*,61.20%,19.90%,0.00%,18.00%
22/10/2020,0.00%,93.80%,4.90%,*,1.20%
05/11/2020,0.00%,66.20%,8.20%,25.10%,*
19/11/2020,0.00%,71.10%,28.00%,*,*
03/12/2020,*,63.60%,25.10%,4.40%,6.70%
17/12/2020,0.00%,57.70%,33.80%,0.00%,8.50%
07/01/2021,9.4%,65.2%,19.5%,5.5%,*
14/01/2021,4.70%,49.90%,22.50%,5.50%,17.30%
28/01/2021,0.00%,51.30%,26.30%,4.40%,18.10%
11/02/2021,6.70%,67.70%,1.50%,7.00%,17.00%
25/02/2021,0.00%,59.40%,20.20%,*,19.90%
11/03/2021,0.00%,78.70%,19.60%,0.00%,1.60%
25/03/2021,0.00%,80.10%,17.00%,*,2.30%
08/04/2021,5.50%,61.80%,19.70%,4.70%,8.20%
22/04/2021,0.00%,63.00%,28.60%,0.00%,8.30%
06/05/2021,7.70%,62.60%,12.00%,5.40%,12.40%
20/05/2021,12.90%,34.90%,26.90%,*,24.40%
03/06/2021,*,66.50%,13.80%,0.00%,19.00%
17/06/2021,0.00%,65.30%,21.60%,0.00%,13.10%
01/07/2021,7.7%,71.1%,18.5%,*,2.6%
15/07/2021,*,69.40%,11.60%,0.00%,18.50%
29/07/2021,5.70%,83.80%,8.40%,*,1.90%
12/08/2021,10.30%,48.90%,22.90%,5.90%,12.00%
26/08/2021,*,82.8%,7.6%,*,8.5%
09/09/2021,1.20%,75.40%,9.60%,6.30%,7.60%
23/09/2021,*,53.9%,7.1%,6.8%,31.8%
07/10/2021,*,*,*,*,*
21/10/2021,*,*,*,*,*
