Date,The business has stopped exporting in the last two weeks ,Exporting has not been affected ,"The business is exporting, but less than normal","The business is exporting, but more than normal",Not sure 
02/07/2020,*,39.4%,57.1%,2.0%,1.3%
16/07/2020,1.30%,36.40%,57.40%,3.30%,1.70%
30/07/2020,*,48.60%,40.50%,1.00%,9.60%
13/08/2020,2.40%,44.90%,43.80%,8.30%,*
27/08/2020,1.00%,64.90%,30.50%,*,2.80%
10/09/2020,3.10%,60.50%,32.80%,*,2.90%
24/09/2020,13.60%,32.00%,29.50%,9.20%,15.70%
08/10/2020,5.10%,52.60%,27.20%,1.90%,13.30%
22/10/2020,1.8%,41.3%,13.0%,36.6%,7.2%
05/11/2020,*,51.20%,30.20%,5.50%,12.30%
19/11/2020,3.80%,64.10%,28.70%,*,3.00%
03/12/2020,*,54.80%,37.80%,1.50%,5.40%
17/12/2020,*,55.30%,33.20%,6.30%,4.30%
07/01/2021,1.10%,53.80%,36.50%,2.60%,6.00%
14/01/2021,2.10%,63.10%,12.40%,11.90%,10.50%
28/01/2021,5.20%,50.10%,19.70%,13.70%,11.30%
11/02/2021,3.00%,35.40%,20.10%,22.20%,19.30%
25/02/2021,7.00%,44.00%,25.20%,16.10%,7.80%
11/03/2021,2.20%,50.40%,23.00%,16.20%,8.20%
25/03/2021,1.30%,49.60%,32.00%,9.10%,8.00%
08/04/2021,2.50%,55.40%,29.50%,2.00%,10.60%
22/04/2021,6.80%,40.90%,34.90%,11.60%,5.80%
06/05/2021,3.70%,45.30%,32.50%,5.70%,12.70%
20/05/2021,3.20%,41.50%,18.00%,7.10%,30.20%
03/06/2021,1.00%,48.30%,22.50%,7.20%,20.90%
17/06/2021,1.10%,44.10%,31.20%,3.90%,19.80%
01/07/2021,*,51.2%,24.4%,13.6%,10.3%
15/07/2021,3.60%,42.50%,30.60%,9.10%,14.20%
29/07/2021,2.50%,49.10%,33.40%,8.00%,6.90%
12/08/2021,1.90%,45.90%,28.30%,3.50%,20.40%
26/08/2021,*,51.10%,32.90%,1.90%,13.10%
09/09/2021,4.3%,42.6%,25.2%,5.0%,22.9%
23/09/2021,1.10%,44.90%,24.10%,7.50%,22.40%
07/10/2021,*,52.10%,26.90%,2.00%,18.50%
21/10/2021,3.40%,45.90%,33.60%,*,16.20%
