Date,On furlough leave ,Off sick or in self-isolation due to coronavirus (COVID-19) with statutory or company pay ,Made permanently redundant ,Working at their normal place of work ,Working remotely instead of at their normal place of work ,Other 
02/07/2020,20.40%,2.00%,*,53.70%,22.90%,*
16/07/2020,15.90%,2.10%,*,54.60%,25.40%,1.70%
30/07/2020,13.60%,1.30%,*,61.90%,22.20%,*
13/08/2020,13.10%,1.40%,*,62.90%,21.50%,*
27/08/2020,9.20%,1.20%,*,66.70%,20.90%,1.10%
10/09/2020,8.90%,1.10%,*,68.90%,20.00%,*
24/09/2020,6.50%,1.10%,*,71.40%,19.60%,*
08/10/2020,5.30%,1.20%,*,72.30%,19.90%,*
22/10/2020,5.00%,1.40%,*,72.30%,19.60%,*
05/11/2020,3.80%,1.80%,*,72.30%,21.00%,*
19/11/2020,4.00%,2.10%,*,71.50%,20.90%,*
03/12/2020,4.90%,2.10%,*,69.50%,22.30%,*
17/12/2020,4.50%,1.90%,*,72.10%,20.40%,*
07/01/2021,3.80%,1.80%,*,70.70%,22.40%,*
14/01/2021,4.40%,1.90%,*,69.20%,21.70%,2.60%
28/01/2021,4.9%,2.3%,*,66.8%,24.0%,1.8%
11/02/2021,5.20%,2.60%,*,68.60%,22.50%,1.00%
25/02/2021,6.40%,2.10%,*,67.40%,22.60%,1.40%
11/03/2021,5.80%,1.90%,*,68.30%,23.20%,*
25/03/2021,5.70%,1.70%,*,68.90%,23.10%,*
08/04/2021,4.90%,1.40%,*,68.80%,23.80%,*
22/04/2021,5.90%,1.50%,*,69.80%,21.60%,1.10%
06/05/2021,5.70%,1.20%,*,71.50%,20.50%,1.00%
20/05/2021,6.0%,1.0%,*,70.2%,22.0%,*
03/06/2021,4.80%,*,*,72.40%,21.40%,*
17/06/2021,5.50%,*,*,71.90%,20.80%,*
