Date,Not been able to import in the last two weeks,Importing has not been affected,"Importing, but less than normal",Importing more than normal,Not sure
02/07/2020,*,46.20%,41.00%,5.30%,6.70%
16/07/2020,*,60.00%,33.70%,*,4.80%
30/07/2020,3.30%,48.50%,39.90%,4.20%,4.20%
13/08/2020,2.90%,57.50%,31.10%,4.50%,4.00%
27/08/2020,5.60%,63.80%,27.90%,1.40%,1.30%
10/09/2020,*,67.30%,24.20%,6.20%,1.70%
24/09/2020,6.20%,46.60%,38.50%,1.20%,7.40%
08/10/2020,11.0%,58.9%,16.1%,1.1%,12.8%
22/10/2020,*,45.60%,33.20%,10.30%,10.50%
05/11/2020,1.90%,39.40%,25.20%,23.60%,9.80%
19/11/2020,12.00%,35.60%,33.80%,4.00%,14.50%
03/12/2020,8.10%,44.70%,38.40%,2.50%,6.30%
17/12/2020,*,49.10%,37.00%,3.80%,9.60%
07/01/2021,5.7%,37.1%,40.0%,10.6%,6.5%
14/01/2021,4.90%,40.50%,28.10%,11.80%,14.70%
28/01/2021,2.1%,40.5%,27.9%,12.0%,17.5%
11/02/2021,2.0%,39.2%,26.9%,16.9%,15.1%
25/02/2021,4.4%,30.8%,26.2%,15.0%,23.6%
11/03/2021,2.10%,33.30%,32.10%,19.30%,13.10%
25/03/2021,3.70%,24.70%,36.20%,18.60%,16.90%
08/04/2021,2.10%,36.40%,33.80%,12.70%,15.00%
22/04/2021,6.10%,36.80%,32.30%,10.40%,14.40%
06/05/2021,5.2%,35.3%,34.0%,9.4%,16.1%
20/05/2021,8.10%,38.10%,27.20%,7.60%,19.00%
03/06/2021,3.00%,41.00%,33.20%,13.90%,8.80%
17/06/2021,4.20%,35.10%,33.40%,9.60%,17.70%
01/07/2021,4.5%,39.2%,30.5%,9.9%,15.9%
15/07/2021,3.00%,48.30%,27.90%,8.60%,12.20%
29/07/2021,6.60%,55.60%,27.90%,1.30%,8.50%
12/08/2021,5.6%,50.0%,25.4%,9.5%,9.5%
26/08/2021,5.00%,43.90%,22.20%,6.40%,22.50%
09/09/2021,3.70%,53.80%,25.20%,3.10%,14.30%
23/09/2021,4.90%,50.90%,20.90%,4.40%,18.90%
07/10/2021,6.20%,42.00%,29.80%,3.10%,18.90%
21/10/2021,6.50%,51.90%,16.80%,5.40%,19.40%
