Date,The business has stopped exporting in the last two weeks ,Exporting has not been affected ,"The business is exporting, but less than normal","The business is exporting, but more than normal",Not sure 
02/07/2020,0.00%,14.30%,82.40%,2.10%,1.20%
16/07/2020,0.00%,9.60%,84.50%,3.00%,2.90%
30/07/2020,0.00%,29.30%,68.30%,1.20%,1.20%
13/08/2020,0.00%,45.50%,53.10%,*,*
27/08/2020,0.00%,37.50%,61.90%,*,0.00%
10/09/2020,69.1%,18.7%,10.9%,*,*
24/09/2020,1.60%,56.00%,35.30%,4.50%,2.70%
08/10/2020,0.00%,27.50%,53.90%,*,17.70%
22/10/2020,3.00%,23.40%,17.40%,53.90%,2.30%
05/11/2020,2.50%,51.30%,26.40%,0.00%,19.80%
19/11/2020,0.00%,21.80%,74.00%,2.80%,1.30%
03/12/2020,0.0%,19.7%,56.3%,*,23.5%
17/12/2020,19.00%,31.40%,47.00%,*,2.20%
07/01/2021,0.0%,54.0%,38.3%,3.9%,3.8%
14/01/2021,2.10%,25.70%,38.70%,5.30%,28.20%
28/01/2021,0.0%,18.1%,54.0%,2.0%,26.0%
11/02/2021,*,51.3%,11.1%,32.5%,4.8%
25/02/2021,*,33.50%,16.10%,2.60%,47.30%
11/03/2021,1.1%,6.0%,17.0%,*,75.2%
25/03/2021,1.90%,11.30%,13.90%,31.80%,41.10%
08/04/2021,1.20%,7.00%,36.00%,23.50%,32.20%
22/04/2021,*,39.20%,9.50%,0.00%,50.70%
06/05/2021,*,4.90%,18.50%,*,76.10%
20/05/2021,*,76.8%,20.1%,*,1.9%
03/06/2021,*,23.9%,23.6%,17.3%,35.0%
17/06/2021,0.0%,78.4%,16.4%,*,4.6%
01/07/2021,*,49.4%,48.0%,*,2.3%
15/07/2021,*,86.1%,9.3%,*,4.1%
29/07/2021,0.00%,81.80%,16.70%,0.00%,1.50%
12/08/2021,*,76.3%,21.6%,*,1.4%
26/08/2021,0.0%,29.4%,70.3%,*,*
09/09/2021,1.70%,50.60%,42.50%,*,5.00%
23/09/2021,0.0%,62.5%,34.5%,*,2.7%
07/10/2021,1.4%,64.5%,21.0%,3.9%,9.2%
21/10/2021,1.10%,45.30%,40.40%,1.10%,12.10%
