Date,Not been able to import in the last two weeks,Importing has not been affected,"Importing, but less than normal",Importing more than normal,Not sure
02/07/2020,0.00%,15.60%,77.10%,3.60%,3.60%
16/07/2020,1.10%,10.10%,81.20%,2.70%,4.90%
30/07/2020,*,12.50%,85.80%,1.10%,0.00%
13/08/2020,1.2%,26.4%,69.6%,2.2%,*
27/08/2020,0.0%,13.2%,86.2%,*,*
10/09/2020,75.4%,3.5%,19.6%,1.0%,*
24/09/2020,4.2%,28.2%,57.2%,5.6%,4.8%
08/10/2020,1.30%,17.90%,67.60%,3.60%,9.60%
22/10/2020,19.8%,15.1%,56.9%,2.4%,5.9%
05/11/2020,3.4%,43.3%,33.4%,0.0%,19.9%
19/11/2020,0.0%,11.2%,16.5%,70.3%,1.9%
03/12/2020,0.0%,16.5%,24.0%,18.6%,41.0%
17/12/2020,*,38.4%,58.2%,2.0%,1.1%
07/01/2021,*,49.5%,28.6%,12.7%,8.7%
14/01/2021,*,8.90%,31.70%,53.20%,5.70%
28/01/2021,*,51.70%,25.90%,1.50%,20.80%
11/02/2021,*,28.60%,67.60%,1.20%,2.30%
25/02/2021,0.00%,27.90%,10.80%,1.70%,59.60%
11/03/2021,1.4%,28.7%,18.8%,47.2%,3.9%
25/03/2021,1.6%,20.4%,71.2%,*,6.0%
08/04/2021,*,12.2%,84.8%,1.1%,1.2%
22/04/2021,1.80%,78.80%,14.50%,*,4.70%
06/05/2021,1.9%,25.3%,66.6%,1.2%,5.0%
20/05/2021,1.1%,52.1%,45.3%,0.0%,1.5%
03/06/2021,*,38.9%,33.8%,*,26.1%
17/06/2021,*,88.80%,7.60%,*,2.70%
01/07/2021,4.2%,50.5%,41.5%,0.0%,3.8%
15/07/2021,*,80.4%,11.7%,*,6.8%
29/07/2021,*,82.2%,11.6%,4.1%,1.1%
12/08/2021,0.0%,76.0%,19.2%,*,4.5%
26/08/2021,*,82.6%,15.0%,*,1.7%
09/09/2021,*,84.8%,13.4%,*,1.1%
23/09/2021,16.9%,25.5%,3.8%,34.2%,19.7%
07/10/2021,*,*,*,*,*
21/10/2021,*,*,*,*,*
