Date,Coronavirus Job Retention Scheme (CJRS),Kickstart Job Scheme for young people,Not sure ,"Not using, or intending to use, either of these schemes",
19/11/2020,32.60%,2.90%,13.40%,54.40%,
03/12/2020,36.60%,2.10%,13.70%,49.00%,
17/12/2020,35.20%,1.40%,11.10%,53.60%,
07/01/2021,36.5%,1.0%,9.6%,53.6%,
14/01/2021,39.10%,*,11.50%,49.10%,
28/01/2021,40.30%,2.20%,9.80%,48.90%,
11/02/2021,45.60%,3.50%,8.60%,43.50%,
25/02/2021,50.30%,1.70%,6.40%,42.60%,
11/03/2021,45.10%,1.60%,8.30%,46.20%,
25/03/2021,45.00%,3.20%,7.70%,46.50%,
08/04/2021,41.60%,3.70%,6.80%,51.30%,
22/04/2021,43.30%,3.00%,10.00%,42.30%,
06/05/2021,42.1%,2.5%,5.6%,47.0%,
20/05/2021,37.9%,1.9%,12.7%,45.3%,
03/06/2021,37.8%,1.2%,10.1%,48.3%,
17/06/2021,30.1%,2.7%,7.7%,59.8%,
01/07/2021,31.7%,2.6%,10.0%,50.9%,
15/07/2021,25.8%,2.4%,9.3%,59.5%,
29/07/2021,25.2%,3.5%,12.8%,54.9%,
12/08/2021,29.5%,1.8%,11.5%,49.8%,
26/08/2021,22.3%,1.1%,9.8%,62.9%,
09/09/2021,25.1%,2.2%,10.90%,59.50%,
23/09/2021,27.2%,2.1%,15.7%,51.4%,
