Date,On furlough leave ,Off sick or in self-isolation due to coronavirus (COVID-19) with statutory or company pay ,Made permanently redundant ,Working at their normal place of work ,Working remotely instead of at their normal place of work ,Other 
02/07/2020,28.10%,3.00%,*,44.10%,23.70%,*
16/07/2020,19.30%,3.10%,*,45.60%,30.00%,1.50%
30/07/2020,17.80%,1.40%,*,54.70%,23.50%,2.20%
13/08/2020,15.10%,1.30%,*,58.40%,22.40%,2.00%
27/08/2020,11.90%,*,*,60.20%,23.50%,2.90%
10/09/2020,8.40%,*,*,67.30%,21.80%,1.20%
24/09/2020,8.10%,1.00%,1.20%,66.60%,22.00%,1.20%
08/10/2020,5.90%,*,*,69.90%,21.30%,1.20%
22/10/2020,6.90%,1.00%,*,73.30%,17.80%,*
05/11/2020,5.60%,1.50%,*,73.90%,17.30%,1.40%
19/11/2020,8.40%,1.20%,*,70.70%,18.20%,*
03/12/2020,17.10%,1.70%,*,53.40%,26.20%,1.20%
17/12/2020,17.70%,1.60%,*,54.20%,24.90%,1.30%
07/01/2021,8.5%,1.6%,*,63.3%,25.4%,*
14/01/2021,13.30%,1.80%,*,56.30%,27.90%,*
28/01/2021,19.6%,1.8%,*,48.5%,28.3%,1.6%
11/02/2021,21.9%,1.7%,*,44.6%,30.6%,1.0%
25/02/2021,24.6%,1.7%,*,43.7%,29.0%,*
11/03/2021,22.90%,1.60%,*,46.70%,27.30%,1.40%
25/03/2021,22.30%,1.50%,*,47.00%,27.80%,1.30%
08/04/2021,23.30%,1.40%,*,46.50%,27.40%,1.30%
22/04/2021,20.70%,1.20%,*,50.20%,26.60%,*
06/05/2021,10.80%,1.20%,*,61.10%,26.30%,*
20/05/2021,6.70%,1.10%,*,63.00%,28.00%,1.10%
03/06/2021,5.50%,1.20%,*,65.80%,25.90%,1.40%
17/06/2021,5.50%,1.20%,*,65.80%,25.90%,1.40%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
