Date,Turnover has increased by more than 50%,Turnover has increased between 20% and 50%,Turnover has increased by up to 20%,Turnover unaffected,Turnover has decreased by up to 20%,Turnover has decreased between 20% and 50%,Turnover has decreased by more than 50%,Not sure 
02/07/2020,1.70%,1.90%,8.40%,17.40%,22.90%,17.40%,25.40%,5.00%
16/07/2020,1.00%,1.30%,5.70%,15.00%,17.40%,24.60%,27.40%,7.60%
30/07/2020,1.40%,1.80%,7.30%,18.60%,22.10%,25.20%,18.80%,4.90%
13/08/2020,*,3.30%,6.90%,22.80%,22.20%,20.90%,17.10%,6.00%
27/08/2020,*,1.50%,10.20%,28.10%,19.40%,18.10%,18.10%,4.10%
10/09/2020,*,4.70%,3.80%,29.50%,22.40%,21.90%,12.90%,3.90%
24/09/2020,0.00%,4.80%,8.00%,33.60%,20.80%,16.70%,9.30%,6.80%
08/10/2020,*,3.80%,6.90%,35.60%,18.40%,16.00%,11.40%,7.80%
22/10/2020,1.10%,3.60%,7.00%,35.30%,22.10%,15.00%,11.10%,4.90%
05/11/2020,*,4.10%,7.30%,35.60%,17.00%,11.50%,15.50%,8.50%
19/11/2020,1.9%,2.9%,7.5%,37.3%,16.0%,8.8%,15.0%,10.7%
03/12/2020,1.10%,1.10%,5.30%,38.80%,18.80%,12.70%,12.20%,9.90%
17/12/2020,*,2.80%,5.10%,44.60%,18.30%,10.80%,10.50%,7.40%
07/01/2021,1.00%,3.10%,6.50%,45.10%,14.00%,10.40%,10.50%,9.40%
14/01/2021,*,4.10%,5.20%,39.20%,17.60%,14.30%,9.70%,9.20%
28/01/2021,0.00%,1.50%,4.90%,39.60%,20.00%,15.00%,11.60%,7.40%
11/02/2021,0.00%,3.10%,4.50%,34.90%,21.60%,12.00%,12.40%,11.60%
25/02/2021,*,3.30%,3.10%,38.30%,26.10%,11.40%,10.60%,6.80%
11/03/2021,*,3.30%,6.90%,38.30%,18.80%,13.20%,9.00%,9.90%
25/03/2021,1.40%,3.10%,6.10%,40.10%,16.00%,13.50%,10.30%,9.40%
08/04/2021,*,3.60%,7.30%,37.90%,23.60%,11.20%,8.10%,7.70%
22/04/2021,0.00%,4.80%,8.00%,33.60%,20.80%,16.70%,9.30%,6.80%
06/05/2021,*,3.70%,8.70%,46.70%,15.10%,8.40%,8.50%,8.90%
20/05/2021,*,4.30%,10.80%,45.00%,15.40%,9.30%,6.80%,7.80%
03/06/2021,*,3.70%,10.50%,46.80%,13.60%,6.30%,8.50%,10.10%
17/06/2021,*,2.30%,11.70%,50.10%,11.10%,7.30%,8.10%,8.60%
01/07/2021,*,3.60%,12.30%,48.30%,11.90%,7.70%,6.00%,9.20%
15/07/2021,*,2.30%,13.40%,46.10%,11.10%,9.70%,6.10%,10.50%
29/07/2021,1.40%,2.70%,9.40%,45.90%,17.60%,8.10%,6.20%,8.50%
12/08/2021,*,2.50%,8.50%,48.60%,15.20%,7.50%,8.20%,8.80%
26/08/2021,3.00%,0.00%,7.00%,47.10%,6.00%,8.10%,9.00%,19.70%
09/09/2021,*,*,7.00%,54.50%,5.30%,3.50%,7.40%,21.80%
23/09/2021,0.00%,*,1.00%,43.40%,8.10%,3.60%,14.40%,29.50%
07/10/2021,0.00%,*,3.70%,45.10%,5.60%,10.60%,6.00%,28.50%
21/10/2021,*,3.90%,1.40%,44.30%,8.20%,6.20%,*,35.40%
04/11/2021,0.0%,0.0%,1.3%,39.1%,10.9%,9.9%,8.2%,30.6%
18/11/2021,*,*,4.20%,50.60%,7.80%,4.10%,3.20%,29.50%
02/12/2021,1.2%,*,10.0%,34.6%,13.0%,4.0%,12.2%,24.5%
16/12/2021,0.0%,3.0%,*,31.7%,9.1%,17.8%,5.1%,32.5%
